review_sample_id,evidence_id,application_id,log_id,timestamp,source_type,direction,evidence_span,evidence_category,evidence_description,context_before,context_after,response_latency_hours,extractor_confidence,information_quality,duplication_status,human_decision,human_evidence_category,human_description,human_notes
REV-0012,EV-27b86d028d25,APP-00053,LOG-000356,2025-01-14 00:00:00,candidate_message,candidate_facing,the scope sounds a little different than what we discuussed earlier.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,the scoe sounds a little different than what we discussed earlier.,Candidate flagged discrepancy between original JD and offer details. Noted for the file.,8.9,0.6,high,unique,PENDING,,,
REV-0013,EV-a8d743deb623,APP-00053,LOG-000361,2025-02-05 00:00:00,candidate_message,candidate_facing,the scope sounds a little different than what we discussed earlier.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,"Good morning, wait, I thought this role was more focused on cleint support, is that still the case? Talk soon",Clarified updated rolle scope with candidate after client changed requirements. Will follow up early next week.,6.8,0.6,medium,likely_template,PENDING,,,
REV-0014,EV-26942843b0c7,APP-00059,LOG-000413,2025-03-02 00:00:00,recruiter_note,internal,"FYI, candidate askde about contract length/conversion path, gave what info we have. Will circle back if anything changes.",job_security_concern,Candidate asks about role stability or long-term security.,"Candidate asked about contract length/conversion path, gave what info we have. No action needed at this time.",kind of how long do thees contracts usually run at this client?,5.3,0.6,high,unique,PENDING,,,
REV-0015,EV-3992bf95675a,APP-00059,LOG-000415,2025-03-03 00:00:00,candidate_message,candidate_facing,just want to understand how stable this assignment is before I commit.,job_security_concern,Candidate asks about role stability or long-term security.,kind of how long do thees contracts usually run at this client?,,7.6,0.6,medium,likely_template,PENDING,,,
REV-0016,EV-5c9d6f0007f6,APP-00063,LOG-000435,2025-04-16 00:00:00,candidate_message,candidate_facing,following up again - wanted to make sure everything is still on track.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"Missed scheduled check-in with candidate this week, need to follow up. Will circle back if anything changes.","haven't heard annything in a while, just checking if there's an update.",8.2,0.6,medium,likely_template,PENDING,,,
REV-0017,EV-efc9cfbc50e7,APP-00070,LOG-000493,2024-03-21 00:00:00,candidate_message,candidate_facing,"Hey, got some news on the other role I mentioned, still deciding.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"have another opportunity moving alogn too, trying to figure out timing.","Candidate mentioned competing process, seems to be weighing both. Wll circle back if anything changes.",7.3,0.6,high,same_application_duplicate,PENDING,,,
REV-0018,EV-8cbc4304b48c,APP-00072,LOG-000503,2024-02-05 00:00:00,candidate_message,candidate_facing,"wanted to flag, how long do these contracts usully run at this client?",candidate_questions,Candidate asks a direct question.,"Candidate asked abot contract length/conversion path, gaev what info we have. Will circle back if anything changes.",just want to understand how stable this assignment is before I commit. Thank you,27.0,0.45,high,unique,PENDING,,,
REV-0019,EV-7da16f874210,APP-00079,LOG-000559,2024-07-10 00:00:00,recruiter_note,internal,"Quick note - sent candidate an update on offer letter timeline, they wee understanding.",documentation,"Reference to offer letter, paperwork, or background check status.","Per today's call, client running behind on offer letter generation. Kept candidate updated.","Hello, haven't seeen anything in my inbox, wanted to follow up.",6.9,0.6,high,unique,PENDING,,,
REV-0020,EV-989540395353,APP-00095,LOG-000670,2024-11-15 00:00:00,recruiter_note,internal,"Client background vendor running behind, expect another few days.",process_delay,Communication references a delay in the recruitment process.,any update on the background check? jusst want to pllan around it.,"Note: client background vendor running behind, expect another few days. Will follow up early next week.",3.2,0.6,medium,likely_template,PENDING,,,
REV-0021,EV-29b656c46a32,APP-00100,LOG-000705,2025-05-26 00:00:00,recruiter_note,internal,Clarified updated role scope with candidate after client changed requirements.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,"wait, I thought this roel was more focused on reporting, is that still the case?","wait, I thought thsi role was moore focused on client support, is that still the case? Best",11.3,0.6,high,repeated_but_usable,PENDING,,,
REV-0022,EV-0eb4a7afe001,APP-00105,LOG-000750,2024-07-06 00:00:00,candidate_message,candidate_facing,"Hi, would pefer day shift if that's possible at all.",schedule_shift,Candidate raises a comment about shift or schedule.,"Update - discussed shift schedule concerns with candidate, checked with client on flexibility. Flagging for visibility.","Discussed shift schedule concerns with candidate, checked with client on flexibility.",29.9,0.6,high,unique,PENDING,,,
REV-0023,EV-98bccecde657,APP-00122,LOG-000872,2024-04-25 00:00:00,withdrawal_statement,candidate_facing,"not going to be able to move forward, personal reasons.",contradictory_information,Stated reason is brief/generic; may warrant comparison against surrounding evidence.,"understood, thank you.",,29.6,0.45,high,same_application_duplicate,PENDING,,,
REV-0024,EV-53575e4aa92c,APP-00145,LOG-001022,2024-05-23 00:00:00,recruiter_note,internal,"FYI, discussed candidate's family situation briefly, offered flexibility on start date. Will follow up early net week.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.","personal situation at home, should knw more soon.","some family stuff came up, migt affect my availability.",37.4,0.6,high,unique,PENDING,,,
REV-0025,EV-4177f6c94dd1,APP-00148,LOG-001053,2024-11-17 00:00:00,candidate_message,candidate_facing,"things came up at my current job, need a bit more time to think.",current_employer_activity,Candidate references activity or conversations at their current employer.,"got pulld into a conversation with my current company, will update you soon. Thank you",my current manger wants to talk again before I finalize anything.,15.2,0.75,high,same_application_duplicate,PENDING,,,
REV-0026,EV-87e6de0c887c,APP-00155,LOG-001095,2025-06-24 00:00:00,candidate_message,candidate_facing,when do benefits kick in exactly?,candidate_questions,Candidate asks a direct question.,"Sent benefits summary to candidate again, answered follow-up questions. Will circle back if anything changes.",,13.6,0.45,medium,likely_template,PENDING,,,
REV-0027,EV-81650031e731,APP-00159,LOG-001132,2024-10-10 00:00:00,candidate_message,candidate_facing,"still figuring some things out on my end, just to double check, notihng major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,"Good afternoon, had a conversation come up that I need to tihnk through.",Candidte said compensation was 'not a concern' but asked about job seurity three separate times.,6.0,0.6,high,unique,PENDING,,,
REV-0028,EV-7813e835e905,APP-00172,LOG-001239,2025-04-15 00:00:00,withdrawal_statement,candidate_facing,"personal reasons, sorry. TY",contradictory_information,Stated reason is brief/generic; may warrant comparison against surrounding evidence.,"ok, makes sense.",,86.1,0.45,medium,unique,PENDING,,,
REV-0029,EV-8793f5badfa2,APP-00173,LOG-001240,2024-12-13 00:00:00,candidate_message,candidate_facing,"still not totally clear on the health insurance options, can you send details again?",candidate_questions,Candidate asks a direct question.,,"Note: sent benefits summary to candidate again, asnwered follow-up questions.",10.0,0.45,medium,likely_template,PENDING,,,
REV-0030,EV-4e206629ca51,APP-00179,LOG-001293,2025-03-31 00:00:00,recruiter_note,internal,Working with candidate and client to adjust start date around notice period.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,"Hey, Couldn't get released from my current job in time, sorry, haave to step back.",55.6,0.6,medium,likely_template,PENDING,,,
REV-0031,EV-b2e4e58d8732,APP-00183,LOG-001314,2024-02-25 00:00:00,candidate_message,candidate_facing,"thoght this was hybrid, want to make sure I understand the schedule.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,can you clarify how many das onsite are expected? Talk soon,"Clarified work arrangement with candidate, some confusion from job posting language.",2.2,0.6,high,unique,PENDING,,,
REV-0032,EV-d8f33dcd7cc6,APP-00200,LOG-001455,2024-12-09 00:00:00,withdrawal_statement,candidate_facing,"I've decided to withdraw from this opportunity, thank you for the time and consideration.",withdrawal_language,Communication contains explicit withdrawal or declination language.,soundds godo to me.,,2.8,0.75,high,repeated_but_usable,PENDING,,,
REV-0033,EV-1bc54c21068e,APP-00203,LOG-001467,2025-06-08 00:00:00,withdrawal_statement,candidate_facing,"Good morning, haave to step back for personal reasons, thanks for understanding.",contradictory_information,Stated reason is brief/generic; may warrant comparison against surrounding evidence.,"Routine check-in with candidate, no concerns noted.",,4.4,0.45,high,unique,PENDING,,,
REV-0034,EV-143a9fd631ed,APP-00222,LOG-001571,2024-12-30 00:00:00,candidate_message,candidate_facing,"really looking forward to gettig started, thanks for everything. Talk soon",commitment_language,Candidate uses language expressing forward commitment to the role.,"Hello, really looking forward to getting started, thanks for everything. Thaanks","really looking forward to getting started, thanks for everything.",41.1,0.6,high,unique,PENDING,,,
REV-0035,EV-3c7b3c09c7c6,APP-00222,LOG-001572,2025-01-05 00:00:00,candidate_message,candidate_facing,"really looking forward to getting started, thanks for everything.",commitment_language,Candidate uses language expressing forward commitment to the role.,"really looking forward to gettig started, thanks for everything. Talk soon","Hi, really looking foward to getting started, thanks for everything. Thanks!",31.0,0.6,medium,likely_template,PENDING,,,
REV-0036,EV-43a4f74eba0d,APP-00225,LOG-001594,2025-01-16 00:00:00,candidate_message,candidate_facing,wehn do benefits kick in exactly?,candidate_questions,Candidate asks a direct question.,want to compare benefits before I make a fnial call.,want to compare benefits before I make a final call. Talk soon,3.7,0.45,medium,repeated_but_usable,PENDING,,,
REV-0037,EV-bb1d3ac16455,APP-00239,LOG-001699,2025-01-15 00:00:00,candidate_message,candidate_facing,really appreciate you thinking of me for thiis one!,candidate_excitement,Candidate expresses positive sentiment about the role or process.,Note: candidate very positiev about role and company duriing screen. Keeping an eye on this one.,Candidate very positive about role and company during screen.,0.4,0.6,high,repeated_but_usable,PENDING,,,
REV-0038,EV-943dc9f99bc7,APP-00243,LOG-001736,2025-04-15 00:00:00,candidate_message,candidate_facing,can you clarify how many days onsite are expected?,work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,can you carify how many days onsite are expected?,"Quick note - clarified work arrangement with candidate, some confusion from job posting language.",4.4,0.6,medium,same_application_duplicate,PENDING,,,
REV-0039,EV-8221360fb25f,APP-00251,LOG-001791,2024-12-29 00:00:00,candidate_message,candidate_facing,"sounds good, thank...",responsiveness,"Candidate gives a brief, low-elaboration response.","Hi, great, see you then. Appreciate it","great, see you then.",4.8,0.45,low,potential_redundancy,PENDING,,,
REV-0040,EV-79812612ae45,APP-00269,LOG-001905,2025-06-15 00:00:00,candidate_message,candidate_facing,"sounds good, thank...",responsiveness,"Candidate gives a brief, low-elaboration response.",Post-interview check-in with candidate - they felt it went fine.,"understood, appreciate it. Appreciate it",6.6,0.45,low,potential_redundancy,PENDING,,,
REV-0041,EV-5989ed8b387d,APP-00286,LOG-002014,2024-11-29 00:00:00,candidate_message,candidate_facing,the rate is a little lower than I was expecting honestly.,compensation_concern,Candidate raises a question or concern about compensation.,Candidate raised comp concerns. Walked though total package again.,Canddiate raised comp concerns. Walked through totl package again. Keeping an eye on this one.,37.6,0.6,medium,likely_template,PENDING,,,
REV-0042,EV-1d4ee9c52d41,APP-00289,LOG-002036,2025-02-27 00:00:00,candidate_message,candidate_facing,"ok, and is this the final date or could it move again?",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.","Start date moved again per client request, candidate updated. Will circle bakc if anything changes.","Start date moved again per cilent request, candidate updated.",9.5,0.6,medium,same_application_duplicate,PENDING,,,
REV-0043,EV-8c0cb35ecc33,APP-00303,LOG-002132,2024-03-23 00:00:00,candidate_message,candidate_facing,"Hi, current employer found out and waants to keep me, going back and forth on it.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,"Hello, got pulled into a conversation with my current company, will update you soon.",Brief call - candidate said manager asked to speak with them again. Will follow up soon.,9.6,0.6,high,same_application_duplicate,PENDING,,,
REV-0044,EV-33fb060b9545,APP-00315,LOG-002210,2025-05-15 00:00:00,candidate_message,candidate_facing,"Hey, still figuring some things out on my end, I think nothng major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,,"FYI, candidate said compensation was 'not a concern' but asked about job security there separate times.",8.2,0.6,high,unique,PENDING,,,
REV-0045,EV-12cdba7c1f14,APP-00342,LOG-002397,2025-06-02 00:00:00,candidate_message,candidate_facing,would preefr day shift if that's possible at all.,schedule_shift,Candidate raises a comment about shift or schedule.,is there any flexibility on the sihft start time?,"Discussed shift shedule concerns with candidate, checked wiith client on flexibility. Noted for the file.",7.7,0.6,high,unique,PENDING,,,
REV-0046,EV-bde6fe65e352,APP-00348,LOG-002443,2025-08-25 00:00:00,recruiter_note,internal,"Background check still processing, notified candidate of delay. Keeping an eye on this one.",process_delay,Communication references a delay in the recruitment process.,"Client background vendor running behind, expect another few days.",,49.9,0.6,high,same_application_duplicate,PENDING,,,
REV-0047,EV-a1153d574390,APP-00373,LOG-002627,2025-05-02 00:00:00,candidate_message,candidate_facing,"thought tis was hybrid, want to make sure I understand the schedule. Thank you",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"wait, is this fully reomte or do I need to come in sometimes?","Clarified work arrangement with candidate, some confusion from job posting language. Will follow up eaarly next week.",6.8,0.6,high,unique,PENDING,,,
REV-0048,EV-d5c8f48c14fc,APP-00373,LOG-002628,2025-05-04 00:00:00,recruiter_note,internal,"Clarified work arrangement with candidate, some confusion from job posting language. Will follow up eaarly next week.",expectation_setting,Communication reflects clarification or mismatch of role expectations.,"thought tis was hybrid, want to make sure I understand the schedule. Thank you","wait, is this fully rmote or do I need to come in sometimes? Thanks",46.4,0.6,high,same_application_duplicate,PENDING,,,
REV-0049,EV-06cb366b4fdd,APP-00389,LOG-002699,2025-02-10 00:00:00,candidate_message,candidate_facing,"Hello, traffic to thaat location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,"Candidate raised commute/transportation concern, discussed options.","Candidate raised commute/transportation concern, discussed options.",17.3,0.6,high,same_application_duplicate,PENDING,,,
REV-0050,EV-08b4faf0035c,APP-00391,LOG-002708,2024-11-02 00:00:00,recruiter_note,internal,"FYI, candidate disclosed a parallel process with another firm. Discussed timeline expectations. Will circle back if anything changes.",alternative_opportunity,Candidate references a parallel or competing opportunity.,Interview rescheduled once before finally taking place. Nothing further to add rigth now.,Asked directly aout other offers - candidate confirmed one other acctive process. Wiill check in again in a few days.,24.3,0.75,high,unique,PENDING,,,
REV-0051,EV-8c1dcba24d88,APP-00398,LOG-002741,2024-10-31 00:00:00,candidate_message,candidate_facing,is there any flexibility on the shift start time?,schedule_shift,Candidate raises a comment about shift or schedule.,,"Discussed sift schedule concerns with candidate, checked with client on flexibility.",4.3,0.6,medium,same_application_duplicate,PENDING,,,
REV-0052,EV-128c51e39b36,APP-00400,LOG-002748,2024-04-16 00:00:00,candidate_message,candidate_facing,"still not totally clear on the health insurance options, can you send details again?",candidate_questions,Candidate asks a direct question.,,"Good morning, when do benefits kick in exactly?",6.9,0.45,medium,likely_template,PENDING,,,
REV-0053,EV-d2983353dab1,APP-00429,LOG-002941,2024-11-23 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Flagging for visibility.",location_commute,Candidate raises a comment or concern about commute/location.,"Candidate raised commute/transportation concern, dicussed options.","Note: candidate raised commute/transportation concern, discussed options. Keeing an eye on this one.",29.2,0.6,high,repeated_but_usable,PENDING,,,
REV-0054,EV-fe90ba113e1c,APP-00439,LOG-003013,2025-07-01 00:00:00,candidate_message,candidate_facing,"wait, is this fully remote or do I need to come in sometimes?",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"Clarified work arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",Realized the in-office schedule isn't gooing to...,4.1,0.6,medium,same_application_duplicate,PENDING,,,
REV-0055,EV-213ac0235161,APP-00444,LOG-003046,2024-10-23 00:00:00,candidate_message,candidate_facing,"thought thhis was hybrid, want to make sure I understand the schedule.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,can you clarify how many days onsie are expected?,"wait, is this fully remote or do I need to come in sometimes?",3.1,0.6,high,unique,PENDING,,,
REV-0056,EV-f4c446b11884,APP-00444,LOG-003048,2024-10-26 00:00:00,recruiter_note,internal,"Candidate surprised by onsite expectation, discussed further with client. Nothing further to add right now.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"wait, is this fully remote or do I need to come in sometimes?",Quick notte - interview reschedlued once before fianlly taking place. Nothing further to add right now.,41.4,0.6,high,repeated_but_usable,PENDING,,,
REV-0057,EV-87573262cb71,APP-00461,LOG-003153,2025-06-06 00:00:00,candidate_message,candidate_facing,"Hi, got some news on the othr role I mentioned, still deciding.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"I'm also in process with another company, wanted to be transparent abot that. Thank you","have another opportunity moving along too, tryying to figure out timing.",56.7,0.6,high,unique,PENDING,,,
REV-0058,EV-3dbd348390ee,APP-00468,LOG-003208,2025-06-27 00:00:00,candidate_message,candidate_facing,the rate is a little lower than I was expecting honestly.,compensation_concern,Candidate raises a question or concern about compensation.,,the rate is a little lower than I was expecting honestly.,3.2,0.6,medium,same_application_duplicate,PENDING,,,
REV-0059,EV-9a1000233105,APP-00496,LOG-003403,2025-03-25 00:00:00,candidate_message,candidate_facing,any update on the backgrund check? just want to plan around it. Best,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"Hello, any update on the background check? just want to plan around it. TY","God morning, Candidate declined the offer.",4.5,0.6,high,unique,PENDING,,,
REV-0060,EV-92b74a5d5354,APP-00507,LOG-003484,2025-01-01 00:00:00,candidate_message,candidate_facing,"haven't heard anything in a while, just checking if there's an update. Thank you",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"Note: missed scheduled check-in with candidate this week, ned to follow up. Will circle back if anything changes.","one more question, any news on next steps? TY",67.4,0.6,high,unique,PENDING,,,
REV-0061,EV-84a44306e698,APP-00508,LOG-003489,2024-06-07 00:00:00,candidate_message,candidate_facing,"this role sounds like a great fit, can't wait to get started.",candidate_excitement,Candidate expresses positive sentiment about the role or process.,,Candidate exressed strong enthusiasm during call. Will circle back if anything changes.,4.6,0.6,high,same_application_duplicate,PENDING,,,
REV-0062,EV-23c39b2c6d3c,APP-00520,LOG-003549,2024-03-24 00:00:00,recruiter_note,internal,Candidate disclosed a parallel process with another firm. Discussed timeline expectations.,alternative_opportunity,Candidate references a parallel or competing opportunity.,"have another opportunity moving along too, trying to figure out timing. Thanks","have another opportunity moving along too, trying to figure out timing.",7.1,0.75,medium,likely_template,PENDING,,,
REV-0063,EV-2dd0b18b5941,APP-00524,LOG-003573,2024-08-05 00:00:00,recruiter_note,internal,"Sent candidate an update on offer letter timeline, they were understanding.",documentation,"Reference to offer letter, paperwork, or background check status.","Hi there, still waiting on the paperwork, waned to flag, just making sure nothing got lost.","FYI, offer leetter delayed on client side, candidate starting to ask about it. Willl follow up early next week.",3.3,0.6,medium,likely_template,PENDING,,,
REV-0064,EV-d56b673ee92c,APP-00531,LOG-003621,2024-06-05 00:00:00,candidate_message,candidate_facing,"sounds good, thank you!",responsiveness,"Candidate gives a brief, low-elaboration response.","sounds good, thank you!","Good afternoon, great, see you then. Tank you",6.8,0.45,medium,same_application_duplicate,PENDING,,,
REV-0065,EV-f88e49991609,APP-00548,LOG-003758,2024-10-27 00:00:00,recruiter_note,internal,Client requested start date be pushed. Notified candidate.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",Client requested start dae be pushed. Notified candidate.,"ok, and is this the final dtae or could it move again? Thanks!",17.9,0.6,medium,likely_template,PENDING,,,
REV-0066,EV-a80d586aab06,APP-00555,LOG-003807,2024-02-17 00:00:00,candidate_message,candidate_facing,"still figuring some things out on my end, kind of nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,,had a conversation come up that I need to think through.,10.2,0.6,high,same_application_duplicate,PENDING,,,
REV-0067,EV-e58ae2d0f271,APP-00562,LOG-003868,2024-04-26 00:00:00,recruiter_note,internal,Update - candidate mentioned a conversation with their current manager on the prir call. Later cited unrelated reason for withdrawal. Nothing further to add right now.,current_employer_activity,Candidate references activity or conversations at their current employer.,Quick note - candidate mentioned a conversation with their crrent manager on the prior call. Later citted unrelated reason for withdrawal.,still figuring some thngs out on my,86.0,0.75,high,unique,PENDING,,,
REV-0068,EV-edcbf2f67fa3,APP-00562,LOG-003869,2024-04-30 00:00:00,candidate_message,candidate_facing,still figuring some thngs out on my,candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,Update - candidate mentioned a conversation with their current manager on the prir call. Later cited unrelated reason for withdrawal. Nothing further to add right now.,"Hello, comp is fine, just not sure about long term stability here, going to pass. TY",82.5,0.6,medium,unique,PENDING,,,
REV-0069,EV-6f4d8ce06f62,APP-00565,LOG-003878,2025-01-07 00:00:00,candidate_message,candidate_facing,"sorry, one more question - is everything still on track?",candidate_questions,Candidate asks a direct question.,"Hey, just watn to triple check the start date is still the date we discussed?","wanted to make sure I didn't miss any steps, following up again.",8.6,0.45,high,repeated_but_usable,PENDING,,,
REV-0070,EV-3e64cdacb8a4,APP-00578,LOG-003988,2025-03-20 00:00:00,candidate_message,candidate_facing,"things came up at my current job, nede a bit more time to think. Thanks!",current_employer_activity,Candidate references activity or conversations at their current employer.,"Hi there, current employer found out and wants to keep me, going back and forth on it.",my current mangaer wants to talk again before I finalize anything.,0.8,0.75,high,unique,PENDING,,,
REV-0071,EV-48be1aeefbe6,APP-00590,LOG-004091,2025-01-22 00:00:00,candidate_message,candidate_facing,"sounds good, thank",responsiveness,"Candidate gives a brief, low-elaboration response.","sounds good, thannk you!","Routine pre-start confirmation call, no concerns.",67.1,0.45,low,potential_redundancy,PENDING,,,
REV-0072,EV-26d4a67db490,APP-00595,LOG-004137,2025-04-21 00:00:00,recruiter_note,internal,"Candidate surprised by onsite expectation, discussed further with client.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"Clarified work arrangement with candidate, some confusion from job psoting language.","wait, is this fully remote or do I need to come in sometimes?",4.5,0.6,medium,likely_template,PENDING,,,
REV-0073,EV-07a0d1fee0c6,APP-00603,LOG-004191,2025-07-19 00:00:00,candidate_message,candidate_facing,"sorry to ask again, but what should I bring on day one?",onboarding_process,Candidate asks about onboarding logistics.,just wanted to confirm again wheter the start date...,is there anything else I need to do before starting? wnt to be prepared. Thanks,3.4,0.45,medium,same_application_duplicate,PENDING,,,
REV-0074,EV-4746b1db13e0,APP-00611,LOG-004237,2024-06-06 00:00:00,candidate_message,candidate_facing,"Good afternoon, is this role likeyl to convert to permanent, or stay contract long term?",job_security_concern,Candidate asks about role stability or long-term security.,Dicsussed typical assignment duration at this client with candidate. Nothing further to add right now.,"Quick note - candidate asked about conrtact length/conversion path, gave what info we have.",55.9,0.6,high,same_application_duplicate,PENDING,,,
REV-0075,EV-a48ec436fda0,APP-00623,LOG-004330,2024-11-29 00:00:00,candidate_message,candidate_facing,really appreciate you thinnking of me...,candidate_excitement,Candidate expresses positive sentiment about the role or process.,,Candidate expressed strong enthuusiasm during call. No action needed at this time.,6.0,0.6,medium,unique,PENDING,,,
REV-0076,EV-fc0122dd9f8c,APP-00640,LOG-004433,2025-05-01 00:00:00,recruiter_note,internal,"Candidate asked about contract length/conversion path, gave what info we have. Flagging for visibility.",job_security_concern,Candidate asks about role stability or long-term security.,,not sure if thhis matters but how long do these contracts usually run at this client?,9.3,0.6,high,repeated_but_usable,PENDING,,,
REV-0077,EV-807b224fdc62,APP-00645,LOG-004470,2024-12-15 00:00:00,candidate_message,candidate_facing,"Good afternoon, the scope sounds a little different tahn what we discussed earlier.",expectation_setting,Communication reflects clarification or mismatch of role expectations.,the scope sounds a little different tan what we discussed earlier.,"wait, I thought this role was more focused...",6.3,0.6,high,unique,PENDING,,,
REV-0078,EV-803b5d65381a,APP-00651,LOG-004517,2024-12-10 00:00:00,candidate_message,candidate_facing,"great, see you then.",commitment_language,Candidate uses language expressing forward commitment to the role.,"Good afternoon, great, see you then.","Per today's call, candidate confirmed all onboarding steps complete.",6.6,0.6,medium,likely_template,PENDING,,,
REV-0079,EV-e9de5dce3b64,APP-00652,LOG-004527,2025-07-11 00:00:00,recruiter_note,internal,"Candidate surprised by onsite expectation, discussed further with client. Flagging for visibility.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"Hello, wait, is this fully remote or do I need to come in sometimes? Appreciate it",,26.0,0.6,high,repeated_but_usable,PENDING,,,
