mapping_id,evidence_id,application_id,mechanism_id,mechanism_name,mapping_reason,supporting_context,contradictory_context,mapping_confidence,alternative_mechanism_id,alternative_reason,mapping_status,human_mapping_decision,human_selected_mechanism,human_mapping_notes
MAP-EV-7da16f874210,EV-7da16f874210,APP-00079,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-989540395353,EV-989540395353,APP-00095,BM-006,Friction,A specific process delay is described as an obstacle in completing the recruitment/onboarding journey.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-29b656c46a32,EV-29b656c46a32,APP-00100,BM-029,Uncertainty / Ambiguity Aversion,The mismatch/changed information creates ambiguity about what the role will actually involve.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-0eb4a7afe001,EV-0eb4a7afe001,APP-00105,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-98bccecde657,EV-98bccecde657,APP-00122,,,"Contradictory information is flagged, but the behavioral consequence is not explicit.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-53575e4aa92c,EV-53575e4aa92c,APP-00145,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-4177f6c94dd1,EV-4177f6c94dd1,APP-00148,BM-001,Status Quo Bias,Status Quo Bias — candidate shows hesitation or resistance to leaving the current/familiar job situation and moving to the new role. This is a proposed behavioral interpretation for human validation; recruiter follow-up should collect the candidate's specific reasons rather than assume the cause.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-87e6de0c887c,EV-87e6de0c887c,APP-00155,BM-006,Friction,The question identifies a concrete process/logistics point that may add effort or confusion.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-81650031e731,EV-81650031e731,APP-00159,,,"Hesitation is observable, but its behavioral mechanism is not established by the available context.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-7813e835e905,EV-7813e835e905,APP-00172,,,"Contradictory information is flagged, but the behavioral consequence is not explicit.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-8793f5badfa2,EV-8793f5badfa2,APP-00173,BM-006,Friction,The question identifies a concrete process/logistics point that may add effort or confusion.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-4e206629ca51,EV-4e206629ca51,APP-00179,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-b2e4e58d8732,EV-b2e4e58d8732,APP-00183,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-d8f33dcd7cc6,EV-d8f33dcd7cc6,APP-00200,,,Withdrawal is an outcome/action; without an explicit reason it should not be forced into a behavioral mechanism.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-1bc54c21068e,EV-1bc54c21068e,APP-00203,,,"Contradictory information is flagged, but the behavioral consequence is not explicit.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-143a9fd631ed,EV-143a9fd631ed,APP-00222,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-3c7b3c09c7c6,EV-3c7b3c09c7c6,APP-00222,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-43a4f74eba0d,EV-43a4f74eba0d,APP-00225,,,"A question is evidence of information seeking, but the content does not clearly satisfy a frozen behavioral mechanism.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-bb1d3ac16455,EV-bb1d3ac16455,APP-00239,,,"Excitement/positive affect is an emotional signal, not by itself one of the frozen behavioral mechanisms.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-943dc9f99bc7,EV-943dc9f99bc7,APP-00243,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-8221360fb25f,EV-8221360fb25f,APP-00251,,,"Response brevity/speed is an observable communication signal, but it does not by itself satisfy a frozen mechanism's evidence requirement.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-79812612ae45,EV-79812612ae45,APP-00269,,,"Response brevity/speed is an observable communication signal, but it does not by itself satisfy a frozen mechanism's evidence requirement.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-5989ed8b387d,EV-5989ed8b387d,APP-00286,BM-013,Anchoring,The compensation judgment is explicitly made relative to an earlier expectation or reference amount.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-1d4ee9c52d41,EV-1d4ee9c52d41,APP-00289,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-8c0cb35ecc33,EV-8c0cb35ecc33,APP-00303,BM-001,Status Quo Bias,Status Quo Bias — candidate shows hesitation or resistance to leaving the current/familiar job situation and moving to the new role. This is a proposed behavioral interpretation for human validation; recruiter follow-up should collect the candidate's specific reasons rather than assume the cause.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-33fb060b9545,EV-33fb060b9545,APP-00315,,,"Hesitation is observable, but its behavioral mechanism is not established by the available context.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-12cdba7c1f14,EV-12cdba7c1f14,APP-00342,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-bde6fe65e352,EV-bde6fe65e352,APP-00348,BM-006,Friction,A specific process delay is described as an obstacle in completing the recruitment/onboarding journey.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-a1153d574390,EV-a1153d574390,APP-00373,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-d5c8f48c14fc,EV-d5c8f48c14fc,APP-00373,BM-029,Uncertainty / Ambiguity Aversion,The mismatch/changed information creates ambiguity about what the role will actually involve.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-06cb366b4fdd,EV-06cb366b4fdd,APP-00389,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-08b4faf0035c,EV-08b4faf0035c,APP-00391,,,"A competing opportunity is present, but choosing between alternatives does not itself prove Loss Aversion, Scarcity, or another mechanism.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-8c1dcba24d88,EV-8c1dcba24d88,APP-00398,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-128c51e39b36,EV-128c51e39b36,APP-00400,BM-006,Friction,The question identifies a concrete process/logistics point that may add effort or confusion.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-d2983353dab1,EV-d2983353dab1,APP-00429,BM-006,Friction,The evidence describes a concrete commute/transportation difficulty that adds effort or makes joining harder.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-fe90ba113e1c,EV-fe90ba113e1c,APP-00439,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-213ac0235161,EV-213ac0235161,APP-00444,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-f4c446b11884,EV-f4c446b11884,APP-00444,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-87573262cb71,EV-87573262cb71,APP-00461,BM-029,Uncertainty / Ambiguity Aversion,The statement centers on not knowing what to expect and seeking greater predictability.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-3dbd348390ee,EV-3dbd348390ee,APP-00468,BM-013,Anchoring,The compensation judgment is explicitly made relative to an earlier expectation or reference amount.,,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-9a1000233105,EV-9a1000233105,APP-00496,BM-029,Uncertainty / Ambiguity Aversion,The statement centers on not knowing what to expect and seeking greater predictability.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-92b74a5d5354,EV-92b74a5d5354,APP-00507,BM-029,Uncertainty / Ambiguity Aversion,The statement centers on not knowing what to expect and seeking greater predictability.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-84a44306e698,EV-84a44306e698,APP-00508,,,"Excitement/positive affect is an emotional signal, not by itself one of the frozen behavioral mechanisms.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-23c39b2c6d3c,EV-23c39b2c6d3c,APP-00520,,,"A competing opportunity is present, but choosing between alternatives does not itself prove Loss Aversion, Scarcity, or another mechanism.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-2dd0b18b5941,EV-2dd0b18b5941,APP-00524,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-d56b673ee92c,EV-d56b673ee92c,APP-00531,,,"Response brevity/speed is an observable communication signal, but it does not by itself satisfy a frozen mechanism's evidence requirement.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-f88e49991609,EV-f88e49991609,APP-00548,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-a80d586aab06,EV-a80d586aab06,APP-00555,,,"Hesitation is observable, but its behavioral mechanism is not established by the available context.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-e58ae2d0f271,EV-e58ae2d0f271,APP-00562,BM-001,Status Quo Bias,Status Quo Bias — candidate shows hesitation or resistance to leaving the current/familiar job situation and moving to the new role. This is a proposed behavioral interpretation for human validation; recruiter follow-up should collect the candidate's specific reasons rather than assume the cause.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-edcbf2f67fa3,EV-edcbf2f67fa3,APP-00562,BM-029,Uncertainty / Ambiguity Aversion,The hesitation is explicitly tied to uncertainty or not knowing what to expect.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-6f4d8ce06f62,EV-6f4d8ce06f62,APP-00565,BM-006,Friction,The question identifies a concrete process/logistics point that may add effort or confusion.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-3e64cdacb8a4,EV-3e64cdacb8a4,APP-00578,BM-001,Status Quo Bias,Status Quo Bias — candidate shows hesitation or resistance to leaving the current/familiar job situation and moving to the new role. This is a proposed behavioral interpretation for human validation; recruiter follow-up should collect the candidate's specific reasons rather than assume the cause.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-48be1aeefbe6,EV-48be1aeefbe6,APP-00590,,,"Response brevity/speed is an observable communication signal, but it does not by itself satisfy a frozen mechanism's evidence requirement.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-26d4a67db490,EV-26d4a67db490,APP-00595,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-07a0d1fee0c6,EV-07a0d1fee0c6,APP-00603,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-4746b1db13e0,EV-4746b1db13e0,APP-00611,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-a48ec436fda0,EV-a48ec436fda0,APP-00623,,,"Excitement/positive affect is an emotional signal, not by itself one of the frozen behavioral mechanisms.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-fc0122dd9f8c,EV-fc0122dd9f8c,APP-00640,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-807b224fdc62,EV-807b224fdc62,APP-00645,BM-029,Uncertainty / Ambiguity Aversion,The mismatch/changed information creates ambiguity about what the role will actually involve.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-803b5d65381a,EV-803b5d65381a,APP-00651,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-e9de5dce3b64,EV-e9de5dce3b64,APP-00652,BM-006,Friction,The work arrangement creates a concrete effort/commute obstacle.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-130d70b8ab97,EV-130d70b8ab97,APP-00656,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-c7273ce65ddc,EV-c7273ce65ddc,APP-00663,,,"Excitement/positive affect is an emotional signal, not by itself one of the frozen behavioral mechanisms.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-e497a2fdd6d3,EV-e497a2fdd6d3,APP-00691,,,Withdrawal is an outcome/action; without an explicit reason it should not be forced into a behavioral mechanism.,,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-da1669c0a328,EV-da1669c0a328,APP-00698,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-04eec378ebd3,EV-04eec378ebd3,APP-00702,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-bdce6b8d9aaa,EV-bdce6b8d9aaa,APP-00706,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-71240829710b,EV-71240829710b,APP-00716,BM-029,Uncertainty / Ambiguity Aversion,The candidate is seeking certainty or reacting to uncertainty around the expected joining date.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-97437dfa649d,EV-97437dfa649d,APP-00730,,,"A pay concern is present, but the frozen library requires a reference comparison or fairness frame before assigning Anchoring/Fairness.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-ceb1a6bbbe9a,EV-ceb1a6bbbe9a,APP-00736,BM-029,Uncertainty / Ambiguity Aversion,"The candidate is seeking predictability about contract duration/stability, directly expressing uncertainty about what to expect.",,,HIGH,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-a5e52b1c7b4c,EV-a5e52b1c7b4c,APP-00741,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-4a720b4828d4,EV-4a720b4828d4,APP-00741,BM-001,Status Quo Bias,Commute/transport evidence indicates resistance or hesitation about changing an established travel routine to adapt to the new job location; proposed as Status Quo Bias for human validation.,,,MODERATE,,BM-006 Friction,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-623db4653df2,EV-623db4653df2,APP-00752,,,"Contradictory information is flagged, but the behavioral consequence is not explicit.",,,N/A,,,NO_SUPPORTED_MECHANISM,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-7eeee7fc51fb,EV-7eeee7fc51fb,APP-00759,BM-006,Friction,"The evidence describes a concrete onboarding/documentation step, repetition, delay, or point of confusion that can add effort.",,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
MAP-EV-6ab4325b56a2,EV-6ab4325b56a2,APP-00762,BM-001,Status Quo Bias,Status Quo Bias — candidate shows hesitation or resistance to leaving the current/familiar job situation and moving to the new role. This is a proposed behavioral interpretation for human validation; recruiter follow-up should collect the candidate's specific reasons rather than assume the cause.,,,MODERATE,,,PROPOSED,APPROVE,,Imported from Aaryatech_Behavioral_Review_MASTER_APPROVED.xlsx
