mechanism_id,mechanism_name,scenario_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association,mapping_source
BM-006,Friction,Friction — client_interview_1,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — client_interview_1,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — offer_accepted,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — offer_accepted,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — offer_accepted,"jut checking, did the offer letter go out yet?",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-020,Commitment / Consistency,Commitment / Consistency — submitted,"so excited about this opportunity, thank you!",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-018,Identity Signaling,Identity Signaling — submitted,"so excited about this opportunity, thank you!",submitted,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — screened,"just realized the commute is longer than I thought, thinking it through. Talk soon",screened,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — submitted,"just ralized the commute is longer than I thought, thinking it through.",submitted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-029,Uncertainty / Ambiguity Aversion,Uncertainty / Ambiguity Aversion — submitted,"taffic to that location is rough, still deciding if it's manageable.",submitted,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — background_check,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — background_check,"Candidate raised commute/transportation concern, discussed options.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — background_check,"Transportation to the site fell through, I have to withdraw, sorry.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-002,Loss Aversion,Loss Aversion — background_check,"Transportation to the site fell through, I have to withdraw, sorry.",background_check,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-020,Commitment / Consistency,Commitment / Consistency — submitted,"great, see you then.",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-002,Loss Aversion,Loss Aversion — background_check,"After careful thought, I ned to formally withdraw my acceptance. Appreciate everything. Thanks!",background_check,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-020,Commitment / Consistency,Commitment / Consistency — submitted,"really looking forward to getting started, thanks for everything. Thanks!",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-011,Reciprocity,Reciprocity — client_interview_1,"thanks so much for checking in, really apprciate how on top of this you've been!",client_interview_1,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-020,Commitment / Consistency,Commitment / Consistency — offer_accepted,"really looking forward to getting started, thanks for everything.",offer_accepted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-011,Reciprocity,Reciprocity — background_check,"thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",background_check,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-020,Commitment / Consistency,Commitment / Consistency — onboarding_docs_sent,"Good afternoon, reaally looking forward to getting started, thanks for everything. Thanks",onboarding_docs_sent,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-006,Friction,Friction — background_check,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-029,Uncertainty / Ambiguity Aversion,Uncertainty / Ambiguity Aversion — unknown,"Discussed candidate's family situation briefly, offered flexibility on start date.",unknown,BM-006 Friction,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",HUMAN_REVIEWED
BM-006,Friction,Friction — screened,Candidate confirmed all onboarding steps complete. Will chheck in again in a few days.,screened,'Default Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-025); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-002,Loss Aversion,Loss Aversion — submitted,"Some things caame up at home and I won't be able to move forward, sorry for the trouble.",submitted,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-011,Reciprocity,Reciprocity — offer_accepted,"Hi, wanted to make sure I didn't miss any steps, following up again.",offer_accepted,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
BM-029,Uncertainty / Ambiguity Aversion,Uncertainty / Ambiguity Aversion — submitted,Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,submitted,BM-006 Friction,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association.",HUMAN_REVIEWED
BM-029,Uncertainty / Ambiguity Aversion,Uncertainty / Ambiguity Aversion — client_interview_1,"Hi, trying to work out my notice period, might push the start date a bit.",client_interview_1,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
