application_id,evidence_id,evidence_span,journey_stage,mechanism_id,mechanism_name,mapping_reason,mapping_source,mapping_confidence,alternative_mechanism_id,alternative_reason,information_gap,research_split
APP-00004,EV-4610b43d961e,"don't have reliable transportation to that site every day, mighht be an issue.",offer_accepted,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-d8024501f44d,"just realized the commute is longer than I thought, thinking it through.",background_check,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-dc8f551193b9,"traffic to that location is rough, still deciding if it's manageable.",onboarding_docs_sent,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00004,EV-045afcc9e6a7,"traffic to that location is rough, still deciding if it's manageable.",onboarding_docs_sent,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00005,EV-909d3aec6e83,"not totally sure how that interview went, sort of it felt a little off.",submitted,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00005,EV-22e210bdeca6,"Hi there, not totally sure how that interview went, not sure if this matters but it felt a little off. Appreciate it",client_interview_1,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00005,EV-f1266225e47f,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00005,EV-08b8dd7a11ce,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'candidate_hesitation' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00005,EV-9b4778aa232d,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,BM-002,Loss Aversion,Evidence category 'withdrawal_language' is a documented candidate signal for 'Loss Aversion' (Value & Reference Evaluation); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-021,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00008,EV-84933b378067,"the schedule might conflict with childcare, seeing what I can work out.",screened,BM-006,Friction,Evidence category 'schedule_shift' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00008,EV-5bf090faa25f,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",client_interview_1,BM-006,Friction,The schedule/shift constraint is a concrete practical obstacle that increases effort or difficulty.,HUMAN_REVIEWED,MODERATE,,,None -- human reviewed,discovery
APP-00008,EV-ba8eac09b489,"the schedule might conflict with childcare, seing what I can work out. Thanks!",client_interview_1,BM-006,Friction,Evidence category 'schedule_shift' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00008,EV-f1ed30ef7b52,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",client_interview_1,BM-006,Friction,Evidence category 'schedule_shift' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00008,EV-e41aa391e99d,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",client_interview_1,BM-002,Loss Aversion,Evidence category 'withdrawal_language' is a documented candidate signal for 'Loss Aversion' (Value & Reference Evaluation); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-021,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-6b4cfde70e92,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",unknown,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-dbba9da7e534,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",unknown,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-39fd4467b1da,"Good afternoon, just checking, did the offer letter go out yet?",screened,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-2922b3419909,"Good afternoon, just checking, did the offer letter go out yet?",screened,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00012,EV-6b8c0d756363,"Offer letter delayed on cliet side, candiate starting to ask about it.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-6369a82b7ce9,"Offer letter delayed on cliet side, candiate starting to ask about it.",client_interview_1,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00012,EV-7a77cc3cf91f,"Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00013,EV-cbbdc1545b36,"Disccussed candidate's family situation briefly, offered flexibility on start date. Keeping an eye on this one.",submitted,BM-023,Goal Gradient,Evidence category 'joining_date' is a documented candidate signal for 'Goal Gradient' (Motivation & Goals); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-024,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00013,EV-b20dc0a466b5,"Discussed candidate's family situation briefly, offered flexibility on start date. No action needded at this time.",background_check,BM-023,Goal Gradient,Evidence category 'joining_date' is a documented candidate signal for 'Goal Gradient' (Motivation & Goals); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-024,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-339feaece069,"just checking, did the offer leetter go out yet?",unknown,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00016,EV-5f3b5f5f2e72,"jusst checking, did the offer letter go out yet?",unknown,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-51ba941f8e13,"jusst checking, did the offer letter go out yet?",unknown,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00016,EV-4bd4bcbd1e35,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",unknown,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-6fd94da9b5f2,"just checking, did the offer letter go out yet? Thanks!",screened,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-b5dfbff51261,"Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-4782ac2627b0,"Hey, stil wiating on the paperwork, not sure if this matters but just making sure nothing got lost.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-8daea3620bdc,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-003d93c9f5cb,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",client_interview_1,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-a510b94d1d34,"just checking, did the ofer letter go out yet?",client_interview_1,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00016,EV-375795f1a733,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-ae78582006d5,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",client_interview_1,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-54dc8dcbb134,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-6996e6a012cc,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-9209262a0521,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-207374c71426,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,BM-006,Friction,Evidence category 'process_delay' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-032,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-d33af62d5196,"jut checking, did the offer letter go out yet?",offer_accepted,BM-006,Friction,Evidence category 'documentation' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00016,EV-25d106bffd39,"jut checking, did the offer letter go out yet?",offer_accepted,,,"NO_SUPPORTED_MECHANISM -- no library mechanism had sufficient, uncontradicted contextual support for this evidence category.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.0,,,Not human-reviewed; model found no supported mechanism.,discovery
APP-00017,EV-2b640b44c1b3,"so excited about this opportunity, thank you!",submitted,BM-020,Commitment / Consistency,Evidence category 'commitment_language' is a documented candidate signal for 'Commitment / Consistency' (Identity & Self-Concept); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-019,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00017,EV-e8c524c2ff7f,"so excited about this opportunity, thank you!",submitted,BM-018,Identity Signaling,Evidence category 'candidate_excitement' is a documented candidate signal for 'Identity Signaling' (Identity & Self-Concept); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-031,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00017,EV-ec72e3549064,"this roel sounds like a geat fit, can't wait to get started.",background_check,,,Positive forward-looking language is not enough for Commitment/Consistency; the library requires a specific prior commitment as the reason for continuing.,HUMAN_REVIEWED,N/A,,,Human reviewer found no supported mechanism,discovery
APP-00020,EV-bf71b5283c13,"just realized the commute is longer than I thought, thinking it through. Talk soon",screened,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00020,EV-8e98019844c5,"just ralized the commute is longer than I thought, thinking it through.",submitted,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00020,EV-f9968ec3ff13,"taffic to that location is rough, still deciding if it's manageable.",submitted,BM-029,Uncertainty / Ambiguity Aversion,"Evidence category 'certainty_uncertainty' is a documented candidate signal for 'Uncertainty / Ambiguity Aversion' (Trust, Risk & Uncertainty); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.4,BM-001,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00020,EV-fae4f05e1938,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",background_check,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00020,EV-239086876abd,"Candidate raised commute/transportation concern, discussed options.",background_check,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
APP-00020,EV-5623f0cbe7e8,"Transportation to the site fell through, I have to withdraw, sorry.",background_check,BM-006,Friction,Evidence category 'location_commute' is a documented candidate signal for 'Friction' (Friction & Effort); no matching Possible_Contradictory_Signals phrase was found in the evidence span or its surrounding context.,MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK,0.55,,,"Not human-reviewed -- model-applied mapping from the calibrated framework; treat as demonstration-grade, not validated.",discovery
