scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association,mapping_source
SCN-523e0e6195d4,Uncertainty / Ambiguity Aversion — background_check,BM-029,Uncertainty / Ambiguity Aversion,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-f91b8b394e28,Uncertainty / Ambiguity Aversion — background_check,BM-029,Uncertainty / Ambiguity Aversion,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-fe0f17fc0893,Loss Aversion — background_check,BM-002,Loss Aversion,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",background_check,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-ca6bb8f4ab95,Friction — screened,BM-006,Friction,"the schedule might conflict with childcare, seeing what I can work out.",screened,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-12b22b410115,Friction — client_interview_1,BM-006,Friction,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",HUMAN_REVIEWED
SCN-818f11dac60e,Friction — client_interview_1,BM-006,Friction,"the schedule might conflict with childcare, seing what I can work out. Thanks!",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-569ba4e72494,Friction — client_interview_1,BM-006,Friction,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-b4419caf43ba,Loss Aversion — client_interview_1,BM-002,Loss Aversion,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",client_interview_1,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-fc582ebbea55,Friction — unknown,BM-006,Friction,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",unknown,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-387f83bc05ab,Friction — unknown,BM-006,Friction,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",unknown,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-5537ce2bb235,Friction — screened,BM-006,Friction,"Good afternoon, just checking, did the offer letter go out yet?",screened,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-16b68e7afa77,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on cliet side, candiate starting to ask about it.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-f4b5503f855b,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on cliet side, candiate starting to ask about it.",client_interview_1,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-921c3e7f4c33,Friction — client_interview_1,BM-006,Friction,"Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-8860c02e4d71,Goal Gradient — submitted,BM-023,Goal Gradient,"Disccussed candidate's family situation briefly, offered flexibility on start date. Keeping an eye on this one.",submitted,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-024); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-899a88e81b16,Goal Gradient — background_check,BM-023,Goal Gradient,"Discussed candidate's family situation briefly, offered flexibility on start date. No action needded at this time.",background_check,'Present Bias (Hyperbolic Discounting)' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-024); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-00f8cf90d702,Friction — unknown,BM-006,Friction,"jusst checking, did the offer letter go out yet?",unknown,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-5f55089a111f,Friction — unknown,BM-006,Friction,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",unknown,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-b453a28054b4,Friction — screened,BM-006,Friction,"just checking, did the offer letter go out yet? Thanks!",screened,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-bcc999bcbb3a,Friction — client_interview_1,BM-006,Friction,"Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-3c9648f7821f,Friction — client_interview_1,BM-006,Friction,"Hey, stil wiating on the paperwork, not sure if this matters but just making sure nothing got lost.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-3649b3a8ab2f,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-3b30a737339e,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",client_interview_1,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-9b5c6503bedc,Friction — client_interview_1,BM-006,Friction,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-f413d48a831a,Friction — client_interview_1,BM-006,Friction,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",client_interview_1,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-00c387aaecb9,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-a465030dcb79,Friction — client_interview_1,BM-006,Friction,"Offer letter delayed on client side, candidate startign to ask about it.",client_interview_1,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-2496bc51187c,Friction — offer_accepted,BM-006,Friction,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-2e418e56b063,Friction — offer_accepted,BM-006,Friction,"Offer letter delayed on client side, candidate starting to ask about it.",offer_accepted,'Negativity Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-032); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-106c065fc9b0,Friction — offer_accepted,BM-006,Friction,"jut checking, did the offer letter go out yet?",offer_accepted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-556fc2d4ee91,Commitment / Consistency — submitted,BM-020,Commitment / Consistency,"so excited about this opportunity, thank you!",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-f5285c3406d1,Identity Signaling — submitted,BM-018,Identity Signaling,"so excited about this opportunity, thank you!",submitted,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-8c91aee6e10a,Friction — screened,BM-006,Friction,"just realized the commute is longer than I thought, thinking it through. Talk soon",screened,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-e83b3303cfe8,Friction — submitted,BM-006,Friction,"just ralized the commute is longer than I thought, thinking it through.",submitted,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-978de900486c,Uncertainty / Ambiguity Aversion — submitted,BM-029,Uncertainty / Ambiguity Aversion,"taffic to that location is rough, still deciding if it's manageable.",submitted,'Status Quo Bias' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-001); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-20effa4e7ec1,Friction — background_check,BM-006,Friction,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-a6e48e1af666,Friction — background_check,BM-006,Friction,"Candidate raised commute/transportation concern, discussed options.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-8a951ca84526,Friction — background_check,BM-006,Friction,"Transportation to the site fell through, I have to withdraw, sorry.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-0de562317383,Loss Aversion — background_check,BM-002,Loss Aversion,"Transportation to the site fell through, I have to withdraw, sorry.",background_check,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-a4685958b4d4,Commitment / Consistency — submitted,BM-020,Commitment / Consistency,"great, see you then.",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-8b43f10b5ac2,Loss Aversion — background_check,BM-002,Loss Aversion,"After careful thought, I ned to formally withdraw my acceptance. Appreciate everything. Thanks!",background_check,'Reactance' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-021); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-719feb1f7531,Commitment / Consistency — submitted,BM-020,Commitment / Consistency,"really looking forward to getting started, thanks for everything. Thanks!",submitted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-0c829d9e1bd9,Reciprocity — client_interview_1,BM-011,Reciprocity,"thanks so much for checking in, really apprciate how on top of this you've been!",client_interview_1,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-2ef64e68f82a,Commitment / Consistency — offer_accepted,BM-020,Commitment / Consistency,"really looking forward to getting started, thanks for everything.",offer_accepted,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-45827b08d30d,Reciprocity — background_check,BM-011,Reciprocity,"thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",background_check,'Halo Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-031); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-b8e717a85ada,Commitment / Consistency — onboarding_docs_sent,BM-020,Commitment / Consistency,"Good afternoon, reaally looking forward to getting started, thanks for everything. Thanks",onboarding_docs_sent,'Self-Consistency' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-019); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-b655afbf47bc,Friction — background_check,BM-006,Friction,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",background_check,Not identified from current evidence.,Not human-reviewed -- model-applied from the calibrated framework.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
SCN-acfe1a63710b,Uncertainty / Ambiguity Aversion — unknown,BM-029,Uncertainty / Ambiguity Aversion,"Discussed candidate's family situation briefly, offered flexibility on start date.",unknown,BM-006 Friction,Mapping confidence (0.00) below moderate threshold (0.5).,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association.",HUMAN_REVIEWED
SCN-c19cf8455874,Friction — screened,BM-006,Friction,Candidate confirmed all onboarding steps complete. Will chheck in again in a few days.,screened,'Default Effect' is also a documented candidate for this evidence category and was not contradicted either -- human review should confirm which (if either) fits better.,Not human-reviewed -- model-applied from the calibrated framework. Evidence also plausibly supports an alternative mechanism (BM-025); not fully disambiguated. Mapping confidence (0.40) below moderate threshold (0.5).,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association.",MODEL_APPLIED_FROM_CALIBRATED_FRAMEWORK
