evidence_id,application_id,log_id,timestamp,source_type,direction,evidence_span,evidence_category,evidence_description,evidence_strength,context_before,context_after,response_latency_hours,extractor_confidence,review_status,reviewer_notes
EV-4610b43d961e,APP-00004,LOG-000019,2024-12-15 00:00:00,candidate_message,candidate_facing,"don't have reliable transportation to that site every day, mighht be an issue.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Per today's call, candidate raised commute/transportation concern, discussed options. Will chck in again in a few days.","just realized the commute is longer than I thought, thinking it through.",30.4,0.6,pending,
EV-d8024501f44d,APP-00004,LOG-000020,2024-12-20 00:00:00,candidate_message,candidate_facing,"just realized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"don't have reliable transportation to that site every day, mighht be an issue.","traffic to that location is rough, still deciding if it's manageable.",38.1,0.6,pending,
EV-dc8f551193b9,APP-00004,LOG-000021,2025-01-01 00:00:00,candidate_message,candidate_facing,"traffic to that location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,"just realized the commute is longer than I thought, thinking it through.",,27.3,0.6,pending,
EV-045afcc9e6a7,APP-00004,LOG-000021,2025-01-01 00:00:00,candidate_message,candidate_facing,"traffic to that location is rough, still deciding if it's manageable.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"just realized the commute is longer than I thought, thinking it through.",,27.3,0.6,pending,
EV-909d3aec6e83,APP-00005,LOG-000022,2025-03-20 00:00:00,candidate_message,candidate_facing,"not totally sure how that interview went, sort of it felt a little off.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,,"Checked in via text, candidate confirmed still interested. Will check in again in a few days.",11.9,0.6,pending,
EV-22e210bdeca6,APP-00005,LOG-000024,2025-03-28 00:00:00,candidate_message,candidate_facing,"Hi there, not totally sure how that interview went, not sure if this matters but it felt a little off. Appreciate it",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,"Checked in via text, candidate confirmed still interested. Will check in again in a few days.","wanted to follow up after the interview, wasn't sue I gave the best answers.",38.3,0.6,pending,
EV-f1266225e47f,APP-00005,LOG-000029,2025-04-21 00:00:00,withdrawal_statement,candidate_facing,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,"Update - candidate confirmed receipt of details, no questions.",,27.4,0.6,pending,
EV-08b8dd7a11ce,APP-00005,LOG-000029,2025-04-21 00:00:00,withdrawal_statement,candidate_facing,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,moderate,"Update - candidate confirmed receipt of details, no questions.",,27.4,0.6,pending,
EV-9b4778aa232d,APP-00005,LOG-000029,2025-04-21 00:00:00,withdrawal_statement,candidate_facing,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,"Update - candidate confirmed receipt of details, no questions.",,27.4,0.75,pending,
EV-84933b378067,APP-00008,LOG-000045,2025-06-20 00:00:00,candidate_message,candidate_facing,"the schedule might conflict with childcare, seeing what I can work out.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",5.6,0.6,pending,
EV-5bf090faa25f,APP-00008,LOG-000046,2025-06-28 00:00:00,recruiter_note,internal,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,"the schedule might conflict with childcare, seeing what I can work out.","the schedule might conflict with childcare, seing what I can work out. Thanks!",12.9,0.6,pending,
EV-ba8eac09b489,APP-00008,LOG-000047,2025-07-03 00:00:00,candidate_message,candidate_facing,"the schedule might conflict with childcare, seing what I can work out. Thanks!",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,"Discussed shift schedule concerns with candidate, checked with client on flexibility.","The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",10.6,0.6,pending,
EV-f1ed30ef7b52,APP-00008,LOG-000048,2025-07-04 00:00:00,decline_statement,candidate_facing,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,"the schedule might conflict with childcare, seing what I can work out. Thanks!",,15.4,0.6,pending,
EV-e41aa391e99d,APP-00008,LOG-000048,2025-07-04 00:00:00,decline_statement,candidate_facing,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,"the schedule might conflict with childcare, seing what I can work out. Thanks!",,15.4,0.75,pending,
EV-6b4cfde70e92,APP-00012,LOG-000068,2024-04-06 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,,"Good afternoon, haven't seen anything in my inbox, wanted to follow up. Thanks",2.8,0.6,pending,
EV-dbba9da7e534,APP-00012,LOG-000068,2024-04-06 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",process_delay,Communication references a delay in the recruitment process.,moderate,,"Good afternoon, haven't seen anything in my inbox, wanted to follow up. Thanks",2.8,0.6,pending,
EV-39fd4467b1da,APP-00012,LOG-000071,2024-04-09 00:00:00,candidate_message,candidate_facing,"Good afternoon, just checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"Good afternoon, haven't seen anything in my inbox, wanted to follow up.","haven't seen anything in my inbox, wanted to follow up.",33.2,0.6,pending,
EV-2922b3419909,APP-00012,LOG-000071,2024-04-09 00:00:00,candidate_message,candidate_facing,"Good afternoon, just checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,"Good afternoon, haven't seen anything in my inbox, wanted to follow up.","haven't seen anything in my inbox, wanted to follow up.",33.2,0.45,pending,
EV-6b8c0d756363,APP-00012,LOG-000073,2024-04-21 00:00:00,recruiter_note,internal,"Offer letter delayed on cliet side, candiate starting to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"haven't seen anything in my inbox, wanted to follow up.","Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",31.5,0.6,pending,
EV-6369a82b7ce9,APP-00012,LOG-000073,2024-04-21 00:00:00,recruiter_note,internal,"Offer letter delayed on cliet side, candiate starting to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,"haven't seen anything in my inbox, wanted to follow up.","Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",31.5,0.6,pending,
EV-7a77cc3cf91f,APP-00012,LOG-000074,2024-04-26 00:00:00,decline_statement,candidate_facing,"Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"Offer letter delayed on cliet side, candiate starting to ask about it.",,41.1,0.6,pending,
EV-cbbdc1545b36,APP-00013,LOG-000076,2024-03-12 00:00:00,recruiter_note,internal,"Disccussed candidate's family situation briefly, offered flexibility on start date. Keeping an eye on this one.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,"Hi, some famiyl stuff",Interview rescheduled once before finally taking place. Flagging for visibility.,52.3,0.6,pending,
EV-b20dc0a466b5,APP-00013,LOG-000080,2024-04-08 00:00:00,recruiter_note,internal,"Discussed candidate's family situation briefly, offered flexibility on start date. No action needded at this time.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,"Candidate cited family/relocation issue, did not go into detail. Keeping an eye on this one.","Candidate cited family/relocation issue, did not go into detail.",60.2,0.6,pending,
EV-339feaece069,APP-00016,LOG-000094,2025-02-11 00:00:00,candidate_message,candidate_facing,"just checking, did the offer leetter go out yet?",candidate_questions,Candidate asks a direct question.,weak,"haven't sen anything in my inbox, wanted to follow up.","jusst checking, did the offer letter go out yet?",3.8,0.45,pending,
EV-5f3b5f5f2e72,APP-00016,LOG-000095,2025-02-11 00:00:00,candidate_message,candidate_facing,"jusst checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"just checking, did the offer leetter go out yet?","Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",1.0,0.6,pending,
EV-51ba941f8e13,APP-00016,LOG-000095,2025-02-11 00:00:00,candidate_message,candidate_facing,"jusst checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,"just checking, did the offer leetter go out yet?","Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",1.0,0.45,pending,
EV-4bd4bcbd1e35,APP-00016,LOG-000096,2025-02-12 00:00:00,recruiter_note,internal,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"jusst checking, did the offer letter go out yet?","just checking, did the offer letter go out yet? Thanks!",2.4,0.6,pending,
EV-6fd94da9b5f2,APP-00016,LOG-000097,2025-02-13 00:00:00,candidate_message,candidate_facing,"just checking, did the offer letter go out yet? Thanks!",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.","Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",6.3,0.6,pending,
EV-b5dfbff51261,APP-00016,LOG-000098,2025-02-18 00:00:00,recruiter_note,internal,"Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"just checking, did the offer letter go out yet? Thanks!","haven't seen anything in my inbox, wanted to follwo up.",6.3,0.6,pending,
EV-4782ac2627b0,APP-00016,LOG-000100,2025-02-20 00:00:00,candidate_message,candidate_facing,"Hey, stil wiating on the paperwork, not sure if this matters but just making sure nothing got lost.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"haven't seen anything in my inbox, wanted to follwo up.","haven't seen anything in my inbox, wanted to follow up.",7.8,0.6,pending,
EV-8daea3620bdc,APP-00016,LOG-000102,2025-02-25 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"haven't seen anything in my inbox, wanted to follow up.","just checking, did the ofer letter go out yet?",6.1,0.6,pending,
EV-003d93c9f5cb,APP-00016,LOG-000102,2025-02-25 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",process_delay,Communication references a delay in the recruitment process.,moderate,"haven't seen anything in my inbox, wanted to follow up.","just checking, did the ofer letter go out yet?",6.1,0.6,pending,
EV-a510b94d1d34,APP-00016,LOG-000103,2025-02-25 00:00:00,candidate_message,candidate_facing,"just checking, did the ofer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.","still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",4.6,0.45,pending,
EV-375795f1a733,APP-00016,LOG-000104,2025-02-26 00:00:00,candidate_message,candidate_facing,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"just checking, did the ofer letter go out yet?","Offer letter delayed on client side, candidate startign to ask about it.",8.4,0.6,pending,
EV-ae78582006d5,APP-00016,LOG-000104,2025-02-26 00:00:00,candidate_message,candidate_facing,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",process_delay,Communication references a delay in the recruitment process.,moderate,"just checking, did the ofer letter go out yet?","Offer letter delayed on client side, candidate startign to ask about it.",8.4,0.6,pending,
EV-54dc8dcbb134,APP-00016,LOG-000105,2025-02-27 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate startign to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you","Offer letter delayed on client side, candidate starting to ask about it.",4.2,0.6,pending,
EV-6996e6a012cc,APP-00016,LOG-000105,2025-02-27 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate startign to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you","Offer letter delayed on client side, candidate starting to ask about it.",4.2,0.6,pending,
EV-9209262a0521,APP-00016,LOG-000106,2025-03-04 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"Offer letter delayed on client side, candidate startign to ask about it.","jut checking, did the offer letter go out yet?",5.5,0.6,pending,
EV-207374c71426,APP-00016,LOG-000106,2025-03-04 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,"Offer letter delayed on client side, candidate startign to ask about it.","jut checking, did the offer letter go out yet?",5.5,0.6,pending,
EV-d33af62d5196,APP-00016,LOG-000107,2025-03-05 00:00:00,candidate_message,candidate_facing,"jut checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,"Offer letter delayed on client side, candidate starting to ask about it.",,2.6,0.6,pending,
EV-25d106bffd39,APP-00016,LOG-000107,2025-03-05 00:00:00,candidate_message,candidate_facing,"jut checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,"Offer letter delayed on client side, candidate starting to ask about it.",,2.6,0.45,pending,
EV-2b640b44c1b3,APP-00017,LOG-000108,2024-02-25 00:00:00,candidate_message,candidate_facing,"so excited about this opportunity, thank you!",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,,Candidate expressed strong enthusiaasm duriing call.,8.9,0.6,pending,
EV-e8c524c2ff7f,APP-00017,LOG-000108,2024-02-25 00:00:00,candidate_message,candidate_facing,"so excited about this opportunity, thank you!",candidate_excitement,Candidate expresses positive sentiment about the role or process.,moderate,,Candidate expressed strong enthusiaasm duriing call.,8.9,0.6,pending,
EV-ec72e3549064,APP-00017,LOG-000111,2024-03-14 00:00:00,candidate_message,candidate_facing,"this roel sounds like a geat fit, can't wait to get started.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,this role sounds like a great,,9.6,0.6,pending,
EV-bf71b5283c13,APP-00020,LOG-000122,2024-11-09 00:00:00,candidate_message,candidate_facing,"just realized the commute is longer than I thought, thinking it through. Talk soon",location_commute,Candidate raises a comment or concern about commute/location.,moderate,,"just ralized the commute is longer than I thought, thinking it through.",2.1,0.6,pending,
EV-8e98019844c5,APP-00020,LOG-000123,2024-11-12 00:00:00,candidate_message,candidate_facing,"just ralized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"just realized the commute is longer than I thought, thinking it through. Talk soon","taffic to that location is rough, still deciding if it's manageable.",2.1,0.6,pending,
EV-f9968ec3ff13,APP-00020,LOG-000124,2024-11-18 00:00:00,candidate_message,candidate_facing,"taffic to that location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,"just ralized the commute is longer than I thought, thinking it through.",Client reqeusted a few dasy to circle back after interview.,2.8,0.6,pending,
EV-fae4f05e1938,APP-00020,LOG-000126,2024-12-03 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,Client reqeusted a few dasy to circle back after interview.,"Candidate raised commute/transportation concern, discussed options.",2.6,0.6,pending,
EV-239086876abd,APP-00020,LOG-000127,2024-12-04 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Candidate raised commute/transportation concern, discussed options. Noted for the file.","Transportation to the site fell through, I have to withdraw, sorry.",4.6,0.6,pending,
EV-5623f0cbe7e8,APP-00020,LOG-000128,2024-12-04 00:00:00,withdrawal_statement,candidate_facing,"Transportation to the site fell through, I have to withdraw, sorry.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,"Candidate raised commute/transportation concern, discussed options.",,8.8,0.6,pending,
EV-474fa9cd56a0,APP-00020,LOG-000128,2024-12-04 00:00:00,withdrawal_statement,candidate_facing,"Transportation to the site fell through, I have to withdraw, sorry.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,"Candidate raised commute/transportation concern, discussed options.",,8.8,0.75,pending,
EV-acdefe8d01c1,APP-00024,LOG-000145,2024-07-16 00:00:00,candidate_message,candidate_facing,"great, see you then.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,,,9.4,0.6,pending,
EV-914d75e44be1,APP-00026,LOG-000150,2024-11-02 00:00:00,candidate_message,candidate_facing,sounds good to me.,responsiveness,"Candidate gives a brief, low-elaboration response.",weak,,"Hi there, souds good to me. Talk soon",4.1,0.45,pending,
EV-940aec1e3972,APP-00026,LOG-000154,2024-11-16 00:00:00,candidate_message,candidate_facing,"Hey, tanks - anything else you need from me?",candidate_questions,Candidate asks a direct question.,weak,sounnds good to me.,"Candidate completed interview loop, no major concerns flagged so far.",24.9,0.45,pending,
EV-81ac4fa672d9,APP-00026,LOG-000159,2024-12-10 00:00:00,withdrawal_statement,candidate_facing,"After careful thought, I ned to formally withdraw my acceptance. Appreciate everything. Thanks!",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,"Hi there, ok, makes sense.",,95.5,0.75,pending,
EV-f397eae7a8c5,APP-00028,LOG-000171,2024-10-17 00:00:00,candidate_message,candidate_facing,"really looking forward to getting started, thanks for everything. Thanks!",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,,"Proactive check-in call, candidate remains highly engageed and positive. Will follow up early next week.",4.0,0.6,pending,
EV-1ffaf722f6ff,APP-00028,LOG-000175,2024-10-31 00:00:00,candidate_message,candidate_facing,"thanks so much for checking in, really apprciate how on top of this you've been!",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,Debriefed with hiring manager after interview - feedback to follow.,"Proactive check-in call, candidate remains highly engaged and positive. Wlil follow up early next week.",10.0,0.6,pending,
EV-5c340eaada1e,APP-00028,LOG-000177,2024-11-15 00:00:00,candidate_message,candidate_facing,"really looking forward to getting started, thanks for everything.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,"Proactive check-in call, candidate remains highly engaged and positive. Wlil follow up early next week.","thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",6.4,0.6,pending,
EV-46cc4bbbf559,APP-00028,LOG-000178,2024-11-16 00:00:00,candidate_message,candidate_facing,"thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,"really looking forward to getting started, thanks for everything.","Note: proactive check-in call, candidate remains highly engaged and positive. Flagging for visibility.",8.2,0.6,pending,
EV-9421e7e41574,APP-00028,LOG-000181,2024-11-23 00:00:00,candidate_message,candidate_facing,"Good afternoon, reaally looking forward to getting started, thanks for everything. Thanks",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,"Proactive check-in call, cnadidate remains highly engaged and positive.",,4.0,0.6,pending,
EV-13e62439b0de,APP-00030,LOG-000194,2024-05-03 00:00:00,recruiter_note,internal,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,"Discussed shit schedule concerns with candidate, chcked wth client on flexibility.",Couldn't make the schedule work on my end,5.2,0.6,pending,
EV-2da13c01cc11,APP-00032,LOG-000206,2024-04-22 00:00:00,recruiter_note,internal,"Discussed candidate's family situation briefly, offered flexibility on start date.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,,we're dealing witth a relocation,1.7,0.6,pending,
EV-fce68074f527,APP-00033,LOG-000211,2025-04-15 00:00:00,recruiter_note,internal,Candidate confirmed all onboarding steps complete. Will chheck in again in a few days.,onboarding_process,Candidate asks about onboarding logistics.,weak,,"souns good, thank you! Thank you",6.6,0.45,pending,
EV-cbe2663b03f7,APP-00034,LOG-000218,2024-05-10 00:00:00,withdrawal_statement,candidate_facing,"Some things caame up at home and I won't be able to move forward, sorry for the trouble.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,"Quick note - candidate cited family/relocation issue, did not go into detail.",,6.0,0.75,pending,
EV-1bbc81fece03,APP-00035,LOG-000219,2024-09-21 00:00:00,candidate_message,candidate_facing,can you confirm agani that nothing has changed on the offer?,candidate_questions,Candidate asks a direct question.,weak,,Debriefed with hiring manager afer interview - feedback to follow.,11.9,0.45,pending,
EV-4da06b0d6131,APP-00035,LOG-000222,2024-10-06 00:00:00,candidate_message,candidate_facing,just want to triple check the start dae is still the same date?,candidate_questions,Candidate asks a direct question.,weak,"Repeated confirmation request from candidate, reassured again.",Canddate asked to reconfirm details already covered previously. Flagging for visibility.,10.4,0.45,pending,
EV-8363510047ae,APP-00035,LOG-000224,2024-10-17 00:00:00,candidate_message,candidate_facing,just want to triple check the start daet is still the same date?,candidate_questions,Candidate asks a direct question.,weak,Canddate asked to reconfirm details already covered previously. Flagging for visibility.,"Good morning, can you confirm again...",41.7,0.45,pending,
EV-7a75bf568483,APP-00035,LOG-000225,2024-10-19 00:00:00,candidate_message,candidate_facing,"Good morning, can you confirm again...",candidate_questions,Candidate asks a direct question.,weak,just want to triple check the start daet is still the same date?,"Per today's call, repeated confirmation request from candidate, reassured again. Will fllow up eary next week.",35.6,0.45,pending,
EV-b75599787302,APP-00035,LOG-000227,2024-10-24 00:00:00,candidate_message,candidate_facing,"Goood morning, can you confirm again that nothing has changed on the offer? Best",candidate_questions,Candidate asks a direct question.,weak,"Per today's call, repeated confirmation request from candidate, reassured again. Will fllow up eary next week.","Hi, wanted to make sure I didn't miss any steps, following up again.",44.5,0.45,pending,
EV-e850c1498cba,APP-00035,LOG-000228,2024-10-30 00:00:00,candidate_message,candidate_facing,"Hi, wanted to make sure I didn't miss any steps, following up again.",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,"Goood morning, can you confirm again that nothing has changed on the offer? Best",,36.5,0.6,pending,
EV-003be45f1be0,APP-00036,LOG-000229,2024-06-18 00:00:00,recruiter_note,internal,Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,,boss is asking me to stay lnoger than I expected to finish up a project.,9.5,0.6,pending,
EV-7a303ee54cc9,APP-00036,LOG-000231,2024-06-27 00:00:00,candidate_message,candidate_facing,"Hi, trying to work out my notice period, might push the start date a bit.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,boss is asking me to stay lnoger than I expected to finish up a project.,boss is asking me to stay longer than I expected to fiinish up a project.,47.3,0.6,pending,
EV-f0f54bd7801e,APP-00036,LOG-000231,2024-06-27 00:00:00,candidate_message,candidate_facing,"Hi, trying to work out my notice period, might push the start date a bit.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,boss is asking me to stay lnoger than I expected to finish up a project.,boss is asking me to stay longer than I expected to fiinish up a project.,47.3,0.6,pending,
EV-23365d5ac5d3,APP-00036,LOG-000233,2024-07-06 00:00:00,recruiter_note,internal,Discussed notice period - candidate's current employer requesting longer transition.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,boss is asking me to stay longer than I expected to fiinish up a project.,Discussed notice period - candidate's current employer requesting longer transition. Keeping an eye on this one.,60.5,0.75,pending,
EV-9dcb6059bbe0,APP-00036,LOG-000234,2024-07-07 00:00:00,recruiter_note,internal,Discussed notice period - candidate's current employer requesting longer transition. Keeping an eye on this one.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,Discussed notice period - candidate's current employer requesting longer transition.,boss is asking me to stay longer than I expected to finish up a project.,19.3,0.75,pending,
EV-9a177f29e5ab,APP-00036,LOG-000236,2024-07-16 00:00:00,candidate_message,candidate_facing,"trying to work out my notice period, might pussh the start date a bit.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,boss is asking me to stay longer than I expected to finish up a project.,"Hi, trying to work out my notice period, might puush",49.5,0.6,pending,
EV-7528d04cfa0b,APP-00036,LOG-000239,2024-08-02 00:00:00,recruiter_note,internal,Working with candidate and client to adjust start date around notice period. Flagging for visibility.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,boss is asking me to saty longer than I expected to finish up a project.,Working with candidate and client to adjust start date around notice period.,35.1,0.6,pending,
