scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association
SCN-994e4df67f66,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,following up again - wanted to make sure everything is still on track.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-33f356d79fc7,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"Hey, got some news on the other role I mentioned, still deciding.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-a802c7ec2ef2,Uncertainty / Ambiguity Aversion — candidate_questions,BM-029,Uncertainty / Ambiguity Aversion,"wanted to flag, how long do these contracts usully run at this client?",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-277d99a3afe9,Friction — documentation,BM-006,Friction,"Quick note - sent candidate an update on offer letter timeline, they wee understanding.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-f4e1cb859d0e,Friction — process_delay,BM-006,Friction,"Client background vendor running behind, expect another few days.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-242cd03fb358,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,Clarified updated role scope with candidate after client changed requirements.,client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-348f553dcf74,Friction — schedule_shift,BM-006,Friction,"Hi, would pefer day shift if that's possible at all.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-f2a0bc82a137,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"FYI, discussed candidate's family situation briefly, offered flexibility on start date. Will follow up early net week.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-8bda6e141802,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"things came up at my current job, need a bit more time to think.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-1f6d2ebad39c,Friction — candidate_questions,BM-006,Friction,when do benefits kick in exactly?,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-98e5503985fa,Friction — candidate_questions,BM-006,Friction,"still not totally clear on the health insurance options, can you send details again?",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-2fcd70bd48c2,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,Working with candidate and client to adjust start date around notice period.,background_check,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-2e61e09be06b,Friction — work_arrangement,BM-006,Friction,"thoght this was hybrid, want to make sure I understand the schedule.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-f6c2eb0e987a,Friction — work_arrangement,BM-006,Friction,can you clarify how many days onsite are expected?,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-df63ab3ba8a9,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower than I was expecting honestly.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-02ecefef53d8,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"ok, and is this the final date or could it move again?",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-82051528a06d,Status Quo Bias — candidate_hesitation,BM-001,Status Quo Bias,"Hi, current employer found out and waants to keep me, going back and forth on it.",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-588bb1be200c,Friction — schedule_shift,BM-006,Friction,would preefr day shift if that's possible at all.,client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-b934827540be,Friction — process_delay,BM-006,Friction,"Background check still processing, notified candidate of delay. Keeping an eye on this one.",onboarding_docs_sent,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-41724f564cb6,Friction — work_arrangement,BM-006,Friction,"thought tis was hybrid, want to make sure I understand the schedule. Thank you",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-face72e0994d,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,"Clarified work arrangement with candidate, some confusion from job posting language. Will follow up eaarly next week.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-58aafd833a3d,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Hello, traffic to thaat location is rough, still deciding if it's manageable.",background_check,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-7f90fc6d9360,Friction — schedule_shift,BM-006,Friction,is there any flexibility on the shift start time?,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-25767b52117f,Friction — candidate_questions,BM-006,Friction,"still not totally clear on the health insurance options, can you send details again?",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-305c813e13f7,Friction — location_commute,BM-006,Friction,"Candidate raised commute/transportation concern, discussed options. Flagging for visibility.",unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-d9e42686321f,Friction — work_arrangement,BM-006,Friction,"wait, is this fully remote or do I need to come in sometimes?",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-32c458067997,Friction — work_arrangement,BM-006,Friction,"thought thhis was hybrid, want to make sure I understand the schedule.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-fb3b7b845540,Friction — work_arrangement,BM-006,Friction,"Candidate surprised by onsite expectation, discussed further with client. Nothing further to add right now.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-330236153a3a,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"Hi, got some news on the othr role I mentioned, still deciding.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-9c9d568f99cb,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower than I was expecting honestly.,unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-30ab7fa91327,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,any update on the backgrund check? just want to plan around it. Best,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-5d49688dceca,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"haven't heard anything in a while, just checking if there's an update. Thank you",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-6cb7b6280681,Friction — documentation,BM-006,Friction,"Sent candidate an update on offer letter timeline, they were understanding.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-7023be9feec4,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,Client requested start date be pushed. Notified candidate.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-96bf088e075c,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Update - candidate mentioned a conversation with their current manager on the prir call. Later cited unrelated reason for withdrawal. Nothing further to add right now.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-9e6dd6400efb,Uncertainty / Ambiguity Aversion — candidate_hesitation,BM-029,Uncertainty / Ambiguity Aversion,still figuring some thngs out on my,offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-41fa2c01d216,Friction — candidate_questions,BM-006,Friction,"sorry, one more question - is everything still on track?",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-fd8da4a88e4a,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"things came up at my current job, nede a bit more time to think. Thanks!",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-fbd13af58002,Friction — work_arrangement,BM-006,Friction,"Candidate surprised by onsite expectation, discussed further with client.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-cfa4ca4d2cca,Friction — onboarding_process,BM-006,Friction,"sorry to ask again, but what should I bring on day one?",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-cbd3bc6b4715,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"Good afternoon, is this role likeyl to convert to permanent, or stay contract long term?",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-34337179f19d,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"Candidate asked about contract length/conversion path, gave what info we have. Flagging for visibility.",unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-cf4d01d3ab33,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,"Good afternoon, the scope sounds a little different tahn what we discussed earlier.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-02cd3c594b92,Friction — work_arrangement,BM-006,Friction,"Candidate surprised by onsite expectation, discussed further with client. Flagging for visibility.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-e2639feb8496,Friction — documentation,BM-006,Friction,Background check flagged for review - escalating with client.,unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-1b5c25b1056e,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Start date moved again per client request, candidate updated. Noted for the file.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-a5ce4eaf5fd1,Friction — schedule_shift,BM-006,Friction,"Hey, would prfeer day shift if that's possible at all.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-d83f90a4b1da,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"ok, and is this the final date or could it move again?",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-9e07c3ea7626,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"Candidate asked about contract length/conversion path, gave what info we have.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-165cf219876a,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Candidate raised commute/transportation concern, discussed options.",screened,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-5203519a6789,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Candidate raised commute/transportation concern, discussed options. Will follow up early next week.",background_check,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-acb507ada22d,Friction — onboarding_process,BM-006,Friction,Update - set onboarding checklist again per candidte request. Will circle back if anything changes.,client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-09ff6b1a2636,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Candidate mentioned current employer reached out. Sounded less certain today.,screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-6511ee04872c,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,"Clarified wok arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-664030ddae0e,Friction — work_arrangement,BM-006,Friction,"Candidate surprised by onsite expectation, discussed further with client.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-6c0256651109,Friction — work_arrangement,BM-006,Friction,"thoguht this was hybrid, want to make sure I understand the schedule.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-1e28e9ff7def,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how tat interview went, just to double check, it felt a little off.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-40261e03e036,Friction — onboarding_process,BM-006,Friction,"Candidate asked several onboarding logistics questions, answered all of them. Noted for the file.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-0d3e4fd746b7,Friction — onboarding_process,BM-006,Friction,"srory to ask again, but what should I bring on day one?",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-f5ad6ea26048,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"wanted to check in, any news on neext steps?",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-b4f085d95f5d,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Cadnidate raised commute/transportation concern, discussed options. No action needed at this time.",client_interview_1,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-c65104e0560a,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just waant to understand how stable thiis assignment is before I commit. Thanks,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-a554b490ec23,Friction — onboarding_process,BM-006,Friction,"Hi there, wanted to douuble check the parking/badge situation one more time. Thanks",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-5066464f030a,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"Hey, just want to understand how stable ths assignment is before I commit.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-7a4214fe0264,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"Hi, my current employer wants two weeks notice, is that going to be a problem?",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-c693e75fcee2,Endowment Effect — candidate_hesitation,BM-010,Endowment Effect,"Hi there, tihngs came up at my current job, need a bit more time to think. Thank you",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-540f459de4b7,Friction — location_commute,BM-006,Friction,"Per today's call, candidate raised commute/transportation concern, discussed options.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-a6badb4546f4,Friction — documentation,BM-006,Friction,any update on the background check? just want to plan around it.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-0f3d513e4e12,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"comp is fine, just not sure about long term stability here, going to pass.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-0a7bf3d556ed,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,"is this role likely to convert to permanent, or stay contract long term?",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-795d26e0a74a,Friction — process_delay,BM-006,Friction,"Hey, is the delay normal? getting a little anxious abut the timing.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
