evidence_id,application_id,original_evidence_span,original_evidence_category,original_evidence_description,original_evidence_strength,review_decision,edited_evidence_category,edited_evidence_description,edited_evidence_strength,reviewer,review_timestamp,reviewer_notes
EV-39fd4467b1da,APP-00012,"Good afternoon, just checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-2922b3419909,APP-00012,"Good afternoon, just checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-6b8c0d756363,APP-00012,"Offer letter delayed on cliet side, candiate starting to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-6369a82b7ce9,APP-00012,"Offer letter delayed on cliet side, candiate starting to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
EV-7a77cc3cf91f,APP-00012,"Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-cbbdc1545b36,APP-00013,"Disccussed candidate's family situation briefly, offered flexibility on start date. Keeping an eye on this one.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-b20dc0a466b5,APP-00013,"Discussed candidate's family situation briefly, offered flexibility on start date. No action needded at this time.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-339feaece069,APP-00016,"just checking, did the offer leetter go out yet?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-5f3b5f5f2e72,APP-00016,"jusst checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-51ba941f8e13,APP-00016,"jusst checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-4bd4bcbd1e35,APP-00016,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-6fd94da9b5f2,APP-00016,"just checking, did the offer letter go out yet? Thanks!",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-b5dfbff51261,APP-00016,"Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-4782ac2627b0,APP-00016,"Hey, stil wiating on the paperwork, not sure if this matters but just making sure nothing got lost.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-8daea3620bdc,APP-00016,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-003d93c9f5cb,APP-00016,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
EV-a510b94d1d34,APP-00016,"just checking, did the ofer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-375795f1a733,APP-00016,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-ae78582006d5,APP-00016,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
EV-54dc8dcbb134,APP-00016,"Offer letter delayed on client side, candidate startign to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-6996e6a012cc,APP-00016,"Offer letter delayed on client side, candidate startign to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
EV-9209262a0521,APP-00016,"Offer letter delayed on client side, candidate starting to ask about it.",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-207374c71426,APP-00016,"Offer letter delayed on client side, candidate starting to ask about it.",process_delay,Communication references a delay in the recruitment process.,moderate,pending,,,,,,
EV-d33af62d5196,APP-00016,"jut checking, did the offer letter go out yet?",documentation,"Reference to offer letter, paperwork, or background check status.",moderate,pending,,,,,,
EV-25d106bffd39,APP-00016,"jut checking, did the offer letter go out yet?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-2b640b44c1b3,APP-00017,"so excited about this opportunity, thank you!",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-e8c524c2ff7f,APP-00017,"so excited about this opportunity, thank you!",candidate_excitement,Candidate expresses positive sentiment about the role or process.,moderate,pending,,,,,,
EV-ec72e3549064,APP-00017,"this roel sounds like a geat fit, can't wait to get started.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-bf71b5283c13,APP-00020,"just realized the commute is longer than I thought, thinking it through. Talk soon",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-8e98019844c5,APP-00020,"just ralized the commute is longer than I thought, thinking it through.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-f9968ec3ff13,APP-00020,"taffic to that location is rough, still deciding if it's manageable.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-fae4f05e1938,APP-00020,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-239086876abd,APP-00020,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-5623f0cbe7e8,APP-00020,"Transportation to the site fell through, I have to withdraw, sorry.",location_commute,Candidate raises a comment or concern about commute/location.,moderate,pending,,,,,,
EV-474fa9cd56a0,APP-00020,"Transportation to the site fell through, I have to withdraw, sorry.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-acdefe8d01c1,APP-00024,"great, see you then.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-914d75e44be1,APP-00026,sounds good to me.,responsiveness,"Candidate gives a brief, low-elaboration response.",weak,pending,,,,,,
EV-940aec1e3972,APP-00026,"Hey, tanks - anything else you need from me?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-81ac4fa672d9,APP-00026,"After careful thought, I ned to formally withdraw my acceptance. Appreciate everything. Thanks!",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-f397eae7a8c5,APP-00028,"really looking forward to getting started, thanks for everything. Thanks!",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-1ffaf722f6ff,APP-00028,"thanks so much for checking in, really apprciate how on top of this you've been!",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-5c340eaada1e,APP-00028,"really looking forward to getting started, thanks for everything.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-46cc4bbbf559,APP-00028,"thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-9421e7e41574,APP-00028,"Good afternoon, reaally looking forward to getting started, thanks for everything. Thanks",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-13e62439b0de,APP-00030,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-2da13c01cc11,APP-00032,"Discussed candidate's family situation briefly, offered flexibility on start date.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-fce68074f527,APP-00033,Candidate confirmed all onboarding steps complete. Will chheck in again in a few days.,onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-cbe2663b03f7,APP-00034,"Some things caame up at home and I won't be able to move forward, sorry for the trouble.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-1bbc81fece03,APP-00035,can you confirm agani that nothing has changed on the offer?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-4da06b0d6131,APP-00035,just want to triple check the start dae is still the same date?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-8363510047ae,APP-00035,just want to triple check the start daet is still the same date?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-7a75bf568483,APP-00035,"Good morning, can you confirm again...",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-b75599787302,APP-00035,"Goood morning, can you confirm again that nothing has changed on the offer? Best",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-e850c1498cba,APP-00035,"Hi, wanted to make sure I didn't miss any steps, following up again.",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-003be45f1be0,APP-00036,Working with candidate and client to adjust start date around notice period. Nothing further to add right now.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-7a303ee54cc9,APP-00036,"Hi, trying to work out my notice period, might push the start date a bit.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-f0f54bd7801e,APP-00036,"Hi, trying to work out my notice period, might push the start date a bit.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-23365d5ac5d3,APP-00036,Discussed notice period - candidate's current employer requesting longer transition.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,pending,,,,,,
EV-9dcb6059bbe0,APP-00036,Discussed notice period - candidate's current employer requesting longer transition. Keeping an eye on this one.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,pending,,,,,,
EV-9a177f29e5ab,APP-00036,"trying to work out my notice period, might pussh the start date a bit.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-7528d04cfa0b,APP-00036,Working with candidate and client to adjust start date around notice period. Flagging for visibility.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-dff6ae324fe4,APP-00036,Working with candidate and client to adjust start date around notice period.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-b57dc69b7b6e,APP-00036,"trying to work out my noice period, might push the start date a bit.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-a3fb5688600e,APP-00036,"trying to work out my noice period, might push the start date a bit.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
EV-b3e94a9beaf5,APP-00036,Discussed notice period - candidate's current employer requesting longer transition.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,pending,,,,,,
EV-bc358a87efcf,APP-00036,Discussed noticce period - candidate's current employer requesting longer transition. Keeping an eye on this one.,current_employer_activity,Candidate references activity or conversations at their current employer.,strong,pending,,,,,,
EV-d59049c46dfe,APP-00037,just wnt to understand how stable this assignment...,job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-deb5f83a443b,APP-00037,"Candidate asked about contract length/conversion path, gave what info we have.",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-c68d5ef1c6ba,APP-00039,"Discussed shift schedule concerns wiht candidate, checked with client on flexibility. Nothing further to add right now.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-e85d5df18376,APP-00039,"the schedule might coflict with childcare, seeing what I can work out. TY",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-d76ebcce8efa,APP-00039,"Hi, would prefer day shift if that's posible at all.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-c23c4f6f8c42,APP-00039,"Discussed shift scedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-4bfd1a132925,APP-00039,is there any flexibility on the shift start time?,schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-388a0d44a59d,APP-00039,is there any flexibility on the shift start time?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-b427710e38e5,APP-00039,"Discussed shift schedule concens with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-5e53d45a54ec,APP-00039,"Good morning, is there any flexibility on the shitf start time?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-5f32962b9bed,APP-00043,"this role sounds like a great fit, can't waait to get started.",candidate_excitement,Candidate expresses positive sentiment about the role or process.,moderate,pending,,,,,,
EV-4c02bf717d1c,APP-00044,"Hi there, the rate is a little lower than I was expecting honestly. Taalk soon",compensation_concern,Candidate raises a question or concern about compensation.,moderate,pending,,,,,,
EV-80625c7ccbd3,APP-00045,"Hi there, sorry to ask again, but what should I bring on day one? TY",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-323fa8dd4cce,APP-00045,"Hi, sorry to ask again, but what should I bring on day one? Thank you",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-cf9357ed66b7,APP-00045,"FYI, seent onboarding checklist again per candidate request. Will circle back if anything changes.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-8ecc66e4278a,APP-00045,"Candidate asked several onboarding logistics questions, answered all of them. Will check in aagin in a few days.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-c4678c5d3395,APP-00045,"Candidate asked several onboarding logistics questions, answered all of them.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-fa9463a897a1,APP-00045,"Good morning, wanted to double check the parking/badge situation one morre time.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-a49ac390e489,APP-00045,"Cadidate asked several onboarding logistics questions, answered all of them. Keeping an eye on this one.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-b3199845c3f9,APP-00045,"Candidate asked several onboarding logistics questions, answered all of them. Keeping an eye on this one.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-3061cd90a8b5,APP-00045,"FYI, candidate asked several onboarding logistics questions, answered all of them.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-3e006ea895c5,APP-00045,"Good afternoon, sorry to ask again, but what should I bring on day one?",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-a37c5cb9c24e,APP-00045,"Good afternoon, sorry to ask again, but what should I bring on day one?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-3bb3addae981,APP-00047,"Candidate mentioned competing process, seems to be weighing both. Will circle back if anything changes.",alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-ae51980aa95c,APP-00047,"got some news on the other role I mentioned, still deciding.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-a9e41b8dd34a,APP-00047,"got some news on the other role I mentioned, still deciding.",alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-bad347176f5e,APP-00047,"hvae another opportunity moving along too, trying to figure out timing.",alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-265c958b3dd6,APP-00047,"I'm also in process with another company, wated to be transparent about that. TY",alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-6d4140bf9a6a,APP-00047,Candidate disclosed a parallel process with antoher firm. Discussed timeline expectations. Keeping an eye on this one.,alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-5211c6e9f7c6,APP-00047,"Godo morning, I'm aso in process with another company, wanted to be transparent about that.",alternative_opportunity,Candidate references a parallel or competing opportunity.,strong,pending,,,,,,
EV-9cc0b640c74d,APP-00048,"Afetr careful thought, I need to formally withdraw my acceptance. Appreciate everything.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-16e1ad160cca,APP-00050,"Good afternoon, sounds good, thank you! TY",responsiveness,"Candidate gives a brief, low-elaboration response.",weak,pending,,,,,,
EV-08c774cbac91,APP-00050,"great, see you then.",commitment_language,Candidate uses language expressing forward commitment to the role.,moderate,pending,,,,,,
EV-ef294bae27e1,APP-00050,Candidate confirmed all onboarding steps complete.,onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-4509fd1b23b4,APP-00051,"still figuring some things out on my end, sort of nothing major.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-2453153c9993,APP-00051,"still figuring some things out on my end, sort of nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,moderate,pending,,,,,,
EV-a91cf5bcd0dd,APP-00051,"Hello, still figuring soe things out on my end, kind of nothing major.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-87fb9955e9da,APP-00051,"Hello, still figuring soe things out on my end, kind of nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,moderate,pending,,,,,,
EV-27b86d028d25,APP-00053,the scope sounds a little different than what we discuussed earlier.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-ecce218b2301,APP-00053,"Good morning, wait, I thought this role was more focused on cleint support, is that still the case? Talk soon",expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-a8d743deb623,APP-00053,the scope sounds a little different than what we discussed earlier.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-b51b96b1bb1f,APP-00053,Clarified updated rolle scope with candidate after client changed requirements. Will follow up early next week.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-dc8b1ad6e86a,APP-00053,the scope sounds a little different,expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-fb9fd019c707,APP-00053,the scope soounds a little different tan what we discussed earlier.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-23ae2707e5d1,APP-00053,"wait, I thought this role was more focused on reporting, is that stlil the case? Talk sooon",expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-f137b2ffe736,APP-00053,"Good morning, the scope sounds a little different thna what we discussed earlier.",expectation_setting,Communication reflects clarification or mismatch of role expectations.,moderate,pending,,,,,,
EV-c5902f7d9902,APP-00055,"Discussed shift schedule concerns with candidate, checked with client on flexibility. Notihng further to add right now.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-f5c6f52e9825,APP-00055,would preffer day shift if that's possible at all. TY,schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-d99001ca4cb7,APP-00055,"Discussed shift schedule concerns wth candidate, checked with cllient on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-3a0682b6ea74,APP-00055,"The shift doesn't work with my childcare situation, sorry, have to pass.",schedule_shift,Candidate raises a comment about shift or schedule.,moderate,pending,,,,,,
EV-b19a7d6f914f,APP-00055,"The shift doesn't work with my childcare situation, sorry, have to pass.",withdrawal_language,Communication contains explicit withdrawal or declination language.,strong,pending,,,,,,
EV-779ec5f5aa84,APP-00059,"is ths roel likely to convert to permanent, or stay contract long term?",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-2c49a2d9247e,APP-00059,"is ths roel likely to convert to permanent, or stay contract long term?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-4407766ec782,APP-00059,"Update - candidate asked about contract length/conversion path, gave what info we have. Noting further to add right now.",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-a3a6d9e71693,APP-00059,"Hi there, sort of how long do these contracts usually run at this client? Talk son",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-1ee608e9d8b9,APP-00059,"Note: candidate asekd about contract length/conversion path, gave what info we have. Will check in again in a few days.",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-4035749debcd,APP-00059,"Candidate asked about contract length/conversion path, gave what info we have. No action needed at this time.",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-26942843b0c7,APP-00059,"FYI, candidate askde about contract length/conversion path, gave what info we have. Will circle back if anything changes.",job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-aa8131f2ae84,APP-00059,kind of how long do thees contracts usually run at this client?,certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,moderate,pending,,,,,,
EV-f4298809c9d2,APP-00059,kind of how long do thees contracts usually run at this client?,candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-3992bf95675a,APP-00059,just want to understand how stable this assignment is before I commit.,job_security_concern,Candidate asks about role stability or long-term security.,moderate,pending,,,,,,
EV-0bc457364011,APP-00062,"Candidate asked severaal onboarding logistics questions, answerred all of them. Keeping an eye on this one.",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-ed65874e8412,APP-00062,"Hi, sorry to ask again, but what should I bring on day one? Takl soon",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-47ba679cae29,APP-00062,wanted to dobule check the parking/badge situation one more time.,onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-e41d7d485ba0,APP-00062,"soorry to ask again, but what should I bring on day one? Thank you",onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-f0c30cc95cea,APP-00062,Sent onboarding checklist again per candidate request.,onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-5c9d6f0007f6,APP-00063,following up again - wanted to make sure everything is still on track.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-3cf0d2877c04,APP-00063,"haven't heard annything in a while, just checking if there's an update.",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-5868acd3700f,APP-00063,"checkig on something, any news on next steps?",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-40c34212d1f3,APP-00063,"checkig on something, any news on next steps?",candidate_questions,Candidate asks a direct question.,weak,pending,,,,,,
EV-e8656d96f058,APP-00063,following up again - wanted to make sure everything is stll on track.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-333b8b674a38,APP-00063,following up again - wantted to make sure everything is still on track.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-22b36ae19753,APP-00063,following up again - wanted to make sure everything is stil on track. Appreciate it,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,moderate,pending,,,,,,
EV-460cdf4091c9,APP-00066,Candidate confirmed all onboarding steps complete. Nothing further to add right now.,onboarding_process,Candidate asks about onboarding logistics.,weak,pending,,,,,,
EV-bb7a05a647d3,APP-00068,"Discussed candidate's family stuation briefly, offered flexiility on start date.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",moderate,pending,,,,,,
