evidence_id,exact_text_duplicate_count,normalized_text_duplicate_count,same_application_duplicate,same_log_multi_category_count,multi_category_span,is_high_frequency_template,information_quality,duplication_status,quality_notes
EV-2922b3419909,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-6b8c0d756363,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-6369a82b7ce9,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-7a77cc3cf91f,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-cbbdc1545b36,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-b20dc0a466b5,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-339feaece069,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5f3b5f5f2e72,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-51ba941f8e13,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-4bd4bcbd1e35,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-6fd94da9b5f2,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-b5dfbff51261,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-4782ac2627b0,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-8daea3620bdc,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-003d93c9f5cb,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-a510b94d1d34,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-375795f1a733,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-ae78582006d5,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-54dc8dcbb134,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-6996e6a012cc,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-9209262a0521,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-207374c71426,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-d33af62d5196,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-25d106bffd39,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-2b640b44c1b3,16,16,True,2,True,True,medium,same_application_duplicate,exact text repeated 16x overall; also repeated within the same application; appears across 8 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-e8c524c2ff7f,16,16,True,2,True,True,medium,same_application_duplicate,exact text repeated 16x overall; also repeated within the same application; appears across 8 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-ec72e3549064,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-bf71b5283c13,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-8e98019844c5,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f9968ec3ff13,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-fae4f05e1938,4,4,False,1,False,False,high,repeated_but_usable,exact text repeated 4x overall
EV-239086876abd,44,44,False,1,False,True,medium,likely_template,exact text repeated 44x overall; appears across 29 distinct applications (>= 8 treated as template-scale)
EV-5623f0cbe7e8,4,4,True,2,True,False,high,same_application_duplicate,exact text repeated 4x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-474fa9cd56a0,4,4,True,2,True,False,high,same_application_duplicate,exact text repeated 4x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-acdefe8d01c1,36,36,False,1,False,True,medium,likely_template,exact text repeated 36x overall; appears across 31 distinct applications (>= 8 treated as template-scale)
EV-914d75e44be1,5,5,False,1,False,False,medium,repeated_but_usable,exact text repeated 5x overall
EV-940aec1e3972,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-81ac4fa672d9,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f397eae7a8c5,2,3,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-1ffaf722f6ff,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-5c340eaada1e,12,12,False,1,False,True,medium,likely_template,exact text repeated 12x overall; appears across 12 distinct applications (>= 8 treated as template-scale)
EV-46cc4bbbf559,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-9421e7e41574,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-13e62439b0de,25,25,False,1,False,True,medium,likely_template,exact text repeated 25x overall; appears across 18 distinct applications (>= 8 treated as template-scale)
EV-2da13c01cc11,29,29,False,1,False,True,medium,likely_template,exact text repeated 29x overall; appears across 23 distinct applications (>= 8 treated as template-scale)
EV-fce68074f527,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-cbe2663b03f7,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-1bbc81fece03,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4da06b0d6131,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-8363510047ae,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-7a75bf568483,1,1,False,1,False,False,medium,unique,no notable duplication detected
EV-b75599787302,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-e850c1498cba,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-003be45f1be0,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-7a303ee54cc9,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-f0f54bd7801e,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-23365d5ac5d3,25,25,True,1,False,True,medium,same_application_duplicate,exact text repeated 25x overall; also repeated within the same application; appears across 19 distinct applications (>= 8 treated as template-scale)
EV-9dcb6059bbe0,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-9a177f29e5ab,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-7528d04cfa0b,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-dff6ae324fe4,25,25,False,1,False,True,medium,likely_template,exact text repeated 25x overall; appears across 20 distinct applications (>= 8 treated as template-scale)
EV-b57dc69b7b6e,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-a3fb5688600e,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-b3e94a9beaf5,25,25,True,1,False,True,medium,same_application_duplicate,exact text repeated 25x overall; also repeated within the same application; appears across 19 distinct applications (>= 8 treated as template-scale)
EV-bc358a87efcf,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-d59049c46dfe,1,1,False,1,False,False,medium,unique,no notable duplication detected
EV-deb5f83a443b,14,14,False,1,False,True,medium,likely_template,exact text repeated 14x overall; appears across 13 distinct applications (>= 8 treated as template-scale)
EV-c68d5ef1c6ba,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-e85d5df18376,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-d76ebcce8efa,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-c23c4f6f8c42,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4bfd1a132925,18,18,True,2,True,True,medium,same_application_duplicate,exact text repeated 18x overall; also repeated within the same application; appears across 8 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-388a0d44a59d,18,18,True,2,True,True,medium,same_application_duplicate,exact text repeated 18x overall; also repeated within the same application; appears across 8 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-b427710e38e5,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5e53d45a54ec,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5f32962b9bed,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4c02bf717d1c,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-80625c7ccbd3,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-323fa8dd4cce,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-cf9357ed66b7,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-8ecc66e4278a,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-c4678c5d3395,33,33,False,1,False,True,medium,likely_template,exact text repeated 33x overall; appears across 26 distinct applications (>= 8 treated as template-scale)
EV-fa9463a897a1,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-a49ac390e489,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-b3199845c3f9,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-3061cd90a8b5,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-3e006ea895c5,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-a37c5cb9c24e,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-3bb3addae981,5,5,False,1,False,False,high,repeated_but_usable,exact text repeated 5x overall
EV-ae51980aa95c,10,10,True,2,True,False,high,same_application_duplicate,exact text repeated 10x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-a9e41b8dd34a,10,10,True,2,True,False,high,same_application_duplicate,exact text repeated 10x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-bad347176f5e,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-265c958b3dd6,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-6d4140bf9a6a,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5211c6e9f7c6,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-9cc0b640c74d,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-16e1ad160cca,1,1,False,1,False,False,medium,unique,no notable duplication detected
EV-08c774cbac91,36,36,False,1,False,True,medium,likely_template,exact text repeated 36x overall; appears across 31 distinct applications (>= 8 treated as template-scale)
EV-ef294bae27e1,31,31,False,1,False,True,medium,likely_template,exact text repeated 31x overall; appears across 28 distinct applications (>= 8 treated as template-scale)
EV-4509fd1b23b4,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-2453153c9993,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-a91cf5bcd0dd,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-87fb9955e9da,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-27b86d028d25,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-ecce218b2301,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-a8d743deb623,8,8,False,1,False,True,medium,likely_template,exact text repeated 8x overall; appears across 8 distinct applications (>= 8 treated as template-scale)
EV-b51b96b1bb1f,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-dc8b1ad6e86a,1,1,False,1,False,False,medium,unique,no notable duplication detected
EV-fb9fd019c707,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-23ae2707e5d1,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f137b2ffe736,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-c5902f7d9902,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f5c6f52e9825,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-d99001ca4cb7,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-3a0682b6ea74,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-b19a7d6f914f,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-779ec5f5aa84,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-2c49a2d9247e,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-4407766ec782,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-a3a6d9e71693,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-1ee608e9d8b9,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4035749debcd,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-26942843b0c7,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-aa8131f2ae84,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-f4298809c9d2,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-3992bf95675a,15,15,False,1,False,True,medium,likely_template,exact text repeated 15x overall; appears across 12 distinct applications (>= 8 treated as template-scale)
EV-0bc457364011,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-ed65874e8412,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-47ba679cae29,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-e41d7d485ba0,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-f0c30cc95cea,31,31,False,1,False,True,medium,likely_template,exact text repeated 31x overall; appears across 24 distinct applications (>= 8 treated as template-scale)
EV-5c9d6f0007f6,11,11,False,1,False,True,medium,likely_template,exact text repeated 11x overall; appears across 11 distinct applications (>= 8 treated as template-scale)
EV-3cf0d2877c04,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5868acd3700f,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-40c34212d1f3,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-e8656d96f058,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-333b8b674a38,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-22b36ae19753,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-460cdf4091c9,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-bb7a05a647d3,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-52782f2b1159,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4c88edca9dba,21,21,False,1,False,True,medium,likely_template,exact text repeated 21x overall; appears across 20 distinct applications (>= 8 treated as template-scale)
EV-545d5883f2a7,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-3698f4764774,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-11dd6933029f,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-b0241df9bf1a,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-b1cd7d1909c7,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-efc9cfbc50e7,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-6695c5b91e1f,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-28f6d5467774,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-a46fddffeadf,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-86c880bbcdf8,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-8cbc4304b48c,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-10b525790c70,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-cfad8b19d230,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-02a7a8e06ae3,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-421ad6e8707c,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-2eb0d7708b39,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-d69cce1b2af8,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-c2c665850001,25,25,True,1,False,True,medium,same_application_duplicate,exact text repeated 25x overall; also repeated within the same application; appears across 18 distinct applications (>= 8 treated as template-scale)
EV-09dff6e572b4,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-a32289814177,25,25,True,1,False,True,medium,same_application_duplicate,exact text repeated 25x overall; also repeated within the same application; appears across 18 distinct applications (>= 8 treated as template-scale)
EV-9d44587fedd5,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-6050ff7b6ab5,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-3e57ab1738f9,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-38d623636995,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-2da561921c6c,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-9dc55e047d3c,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-1dd2c054a2ab,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-53770fe2b17c,28,28,True,2,True,True,medium,same_application_duplicate,exact text repeated 28x overall; also repeated within the same application; appears across 12 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-a7a360806418,28,28,True,2,True,True,medium,same_application_duplicate,exact text repeated 28x overall; also repeated within the same application; appears across 12 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-e22a2ec025be,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-1b887de89356,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-7da16f874210,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-697f0a847314,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-7ecdacf1e6f5,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-2843eabbef53,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-79e9f7dc605b,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-39ae482f7b36,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-cf2f130ac10b,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-0aa2a72fceeb,26,26,True,2,True,True,medium,same_application_duplicate,exact text repeated 26x overall; also repeated within the same application; appears across 11 distinct applications (>= 8 treated as template-scale); same source message produced 2 different evidence categories
EV-73c81b2e03c7,33,33,False,1,False,True,medium,likely_template,exact text repeated 33x overall; appears across 26 distinct applications (>= 8 treated as template-scale)
EV-b6c5eb7c40cc,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-5f4625dbe60a,3,3,False,1,False,False,high,repeated_but_usable,exact text repeated 3x overall
EV-c2df38b6dc61,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4ee3d94383cd,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-18d6e17995a1,8,8,True,2,True,False,high,same_application_duplicate,exact text repeated 8x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-03637d4abc8a,8,8,True,2,True,False,high,same_application_duplicate,exact text repeated 8x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-7867203f54fc,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-84282270b5dd,6,6,True,2,True,False,high,same_application_duplicate,exact text repeated 6x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-ca2ca1159897,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-3f5418bc58db,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-4940cb8934ad,1,1,False,1,False,False,medium,unique,no notable duplication detected
EV-ebeb501ec3ab,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-298b8f571e4a,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-d2d4d294c216,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-e892d60194b8,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-7919cc5a2c5b,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-bc5ea79bce80,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-b2c0f20b63dc,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-d610638b08f1,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-331db0fdbbab,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-7b8f20c8db3c,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-2a29808e954d,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-088f58caf727,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-4c6a8e9de4a8,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-124bd277caff,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-fa64afd0294d,2,2,True,2,True,False,medium,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-cb176c70787d,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-226af74f94b4,2,2,False,1,False,False,high,repeated_but_usable,exact text repeated 2x overall
EV-fdd734c2af78,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-e5e2e85d3fbf,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-d4efa322be02,6,6,False,1,False,False,high,repeated_but_usable,exact text repeated 6x overall
EV-e48c272f2a70,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-00a5283d6b46,1,1,False,1,False,False,high,unique,no notable duplication detected
EV-5754a4ccc2f8,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-72d8220811c7,2,2,True,2,True,False,high,same_application_duplicate,exact text repeated 2x overall; also repeated within the same application; same source message produced 2 different evidence categories
EV-afd6cfe56390,10,10,False,1,False,True,medium,likely_template,exact text repeated 10x overall; appears across 9 distinct applications (>= 8 treated as template-scale)
EV-2c720d89a07b,1,1,False,1,False,False,high,unique,no notable duplication detected
