log_id,application_id,timestamp,source_type,direction,text,word_count,response_latency_hours
LOG-000023,APP-00005,2025-03-23,recruiter_note,internal,"Checked in via text, candidate confirmed still interested. Will check in again in a few days.",16,68.5
LOG-000024,APP-00005,2025-03-28,candidate_message,candidate_facing,"Hi there, not totally sure how that interview went, not sure if this matters but it felt a little off. Appreciate it",22,38.3
LOG-000025,APP-00005,2025-03-29,candidate_message,candidate_facing,"wanted to follow up after the interview, wasn't sue I gave the best answers.",14,9.9
LOG-000026,APP-00005,2025-04-01,recruiter_note,internal,"Touched base with candidate, nothing new to report. Flagging for visibility.",11,78.2
LOG-000027,APP-00005,2025-04-09,recruiter_note,internal,"Quick text exchange with candidate, all on track. No aciton needed at this time.",14,74.9
LOG-000028,APP-00005,2025-04-20,recruiter_note,internal,"Update - candidate confirmed receipt of details, no questions.",9,76.5
LOG-000029,APP-00005,2025-04-21,withdrawal_statement,candidate_facing,"Hi there, Still thinking abut how the interview went and decided to step back, sorry.",15,27.4
LOG-000030,APP-00006,2025-05-15,candidate_message,candidate_facing,is the delay normal? getting a little anxious aout the timing. TY,12,1.7
LOG-000031,APP-00006,2025-05-26,candidate_message,candidate_facing,"Good morning, is the delay normal? getting a little anxious aout the timing.",13,4.5
LOG-000032,APP-00006,2025-06-10,candidate_message,candidate_facing,"Hello, is the delay normal? getting a little anxious about the timing. Talk sooon",14,4.6
LOG-000033,APP-00006,2025-06-22,recruiter_note,internal,"Client background vendor running behind, expect another few days. Will follow up early nxt week.",15,7.8
LOG-000034,APP-00007,2025-06-17,recruiter_note,internal,Candidate confirmed all onboarding steps complete.,6,4.2
LOG-000035,APP-00007,2025-06-19,recruiter_note,internal,"Routine pre-start confirmation call, no concerns. Will follow up early next week.",12,35.6
LOG-000036,APP-00007,2025-06-21,candidate_message,candidate_facing,"Hello, sounds good, thank you!",5,34.9
LOG-000037,APP-00007,2025-06-26,recruiter_note,internal,Candidate confirmed all onboarding steps complete. Will circle back if anything changes.,12,82.2
LOG-000038,APP-00007,2025-06-27,candidate_message,candidate_facing,"sounds good, thank you!",4,23.1
LOG-000039,APP-00007,2025-06-30,candidate_message,candidate_facing,"great, see you then.",4,73.4
LOG-000040,APP-00007,2025-07-05,candidate_message,candidate_facing,"sounds good, thhank you!",4,81.9
LOG-000041,APP-00007,2025-07-09,candidate_message,candidate_facing,"Hello, understood, appreciate it.",4,37.4
LOG-000042,APP-00007,2025-07-15,recruiter_note,internal,"Routine pre-start confirmation call, no concerns. No action needed at this time.",12,88.3
LOG-000043,APP-00007,2025-07-21,candidate_message,candidate_facing,"understood, appreciate it.",3,62.8
LOG-000044,APP-00007,2025-07-28,recruiter_note,internal,Candidate confirmed all onboarding steps complete.,6,82.1
LOG-000045,APP-00008,2025-06-20,candidate_message,candidate_facing,"the schedule might conflict with childcare, seeing what I can work out.",12,5.6
LOG-000046,APP-00008,2025-06-28,recruiter_note,internal,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",11,12.9
LOG-000047,APP-00008,2025-07-03,candidate_message,candidate_facing,"the schedule might conflict with childcare, seing what I can work out. Thanks!",13,10.6
LOG-000048,APP-00008,2025-07-04,decline_statement,candidate_facing,"The shift doesn't work with my childcare situation, sorry, have to pass. Appreiate it",14,15.4
LOG-000049,APP-00009,2024-03-11,recruiter_note,internal,Candidate mentioned a conversation with theiir current manager on Tuesday's check-in. Later cited unrelated reason for withdrawal. Will circle back if anything changes.,23,3.7
LOG-000050,APP-00009,2024-03-11,recruiter_note,internal,Candidate mentioned a conversation with their current manager on Tuesday's check-in. Later cited unrelated reason for withdrawal. Will circle back if anything changes.,23,7.4
LOG-000051,APP-00009,2024-03-14,candidate_message,candidate_facing,"still figuring some things out on my end, just to double check, nothing major.",14,8.1
LOG-000052,APP-00009,2024-03-17,recruiter_note,internal,"Per today's call, candidate said compensation was 'not a concern' but asked about job security three separate times.",18,3.9
LOG-000053,APP-00009,2024-03-18,candidate_message,candidate_facing,had a conversation come up that I ned to think through.,11,7.8
LOG-000054,APP-00009,2024-03-25,candidate_message,candidate_facing,"still figurnig some things out on my end, I think nothing major.",12,4.9
LOG-000055,APP-00009,2024-03-26,interview_note,internal,"Interview completed, feedback pending from client. Nothing further to add right now.",12,7.1
LOG-000056,APP-00009,2024-03-29,candidate_message,candidate_facing,had a conversation come up tht I need to think through.,11,7.1
LOG-000057,APP-00009,2024-04-08,recruiter_note,internal,Candidate mentioned a conversation with tehir current manager on the prior call. Later citeed unrelated reason for withdrawal. No action needed at this time.,24,6.3
LOG-000058,APP-00009,2024-04-10,withdrawal_statement,candidate_facing,"Hi, family reasons, neeed to step back.",7,2.7
LOG-000059,APP-00010,2025-05-29,recruiter_note,internal,"Routine pre-start confirmation call, no concerns. Flagging for visibility.",9,6.6
LOG-000060,APP-00010,2025-06-16,recruiter_note,internal,"Standard check-in, no issues reported. Keepign an eye on thsi one.",11,3.8
LOG-000061,APP-00010,2025-06-19,candidate_message,candidate_facing,"Good morning, understood, appreciate it.",5,7.2
LOG-000062,APP-00011,2024-06-01,candidate_message,candidate_facing,"wanted to follow up affter the interview, wasn't sure I gave the bet answers.",14,6.8
LOG-000063,APP-00011,2024-06-03,interview_note,internal,Candidate seemed uncertain/nervous during client interview per hiring manager feedback. No action needed at this time.,16,3.9
LOG-000064,APP-00011,2024-06-04,interview_note,internal,Candidate seemed uncertain/nervous during client interview per hiring manager feedback.,10,2.7
LOG-000065,APP-00011,2024-06-06,candidate_message,candidate_facing,"wanted to fllow up after the interview, wasn't sure I gave the best answers. TY",15,9.2
LOG-000066,APP-00011,2024-06-06,recruiter_note,internal,"Routine check-in with candidate, no conceerns noted. Keeping an eye on this one.",13,9.2
LOG-000067,APP-00011,2024-06-07,decline_statement,candidate_facing,"After the interview I don't think it's the right fit, going to pass.",13,7.1
LOG-000068,APP-00012,2024-04-06,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it. No action needed at this time.",18,2.8
LOG-000069,APP-00012,2024-04-06,candidate_message,candidate_facing,"Good afternoon, haven't seen anything in my inbox, wanted to follow up. Thanks",13,2.3
LOG-000070,APP-00012,2024-04-08,candidate_message,candidate_facing,"Good afternoon, haven't seen anything in my inbox, wanted to follow up.",12,50.9
LOG-000071,APP-00012,2024-04-09,candidate_message,candidate_facing,"Good afternoon, just checking, did the offer letter go out yet?",11,33.2
LOG-000072,APP-00012,2024-04-19,candidate_message,candidate_facing,"haven't seen anything in my inbox, wanted to follow up.",10,40.1
LOG-000073,APP-00012,2024-04-21,recruiter_note,internal,"Offer letter delayed on cliet side, candiate starting to ask about it.",12,31.5
LOG-000074,APP-00012,2024-04-26,decline_statement,candidate_facing,"Good morning, It took too long to get the paperwork, I've movde on to something else, sorry.",17,41.1
LOG-000075,APP-00013,2024-03-02,candidate_message,candidate_facing,"Hi, some famiyl stuff",4,11.7
LOG-000076,APP-00013,2024-03-12,recruiter_note,internal,"Disccussed candidate's family situation briefly, offered flexibility on start date. Keeping an eye on this one.",16,52.3
LOG-000077,APP-00013,2024-03-13,interview_note,internal,Interview rescheduled once before finally taking place. Flagging for visibility.,10,34.1
LOG-000078,APP-00013,2024-03-20,candidate_message,candidate_facing,"some family stuff came up, might affct my availability.",9,69.4
LOG-000079,APP-00013,2024-04-03,recruiter_note,internal,"Candidate cited family/relocation issue, did not go into detail. Keeping an eye on this one.",15,81.2
LOG-000080,APP-00013,2024-04-08,recruiter_note,internal,"Discussed candidate's family situation briefly, offered flexibility on start date. No action needded at this time.",16,60.2
LOG-000081,APP-00013,2024-04-09,recruiter_note,internal,"Candidate cited family/relocation issue, did not go into detail.",9,12.8
LOG-000082,APP-00013,2024-04-21,recruiter_note,internal,"Candidate cited family/relocation issue, did not go into detail.",9,59.5
LOG-000083,APP-00014,2025-08-05,candidate_message,candidate_facing,"Hey, want to compare benefits before I make a final call.",11,11.5
LOG-000084,APP-00014,2025-08-20,candidate_message,candidate_facing,want to compare benefits before I make a final call. Appreciate it,12,89.9
LOG-000085,APP-00014,2025-08-30,candidate_message,candidate_facing,"God afternoon, when do benefits kick in exactly?",8,50.7
LOG-000086,APP-00015,2024-05-10,candidate_message,candidate_facing,just want to pln accordingly - is this start date firm this time?,13,2.1
LOG-000087,APP-00015,2024-05-16,candidate_message,candidate_facing,"ok, and is this the final datte or could it move again?",12,6.9
LOG-000088,APP-00015,2024-05-26,recruiter_note,internal,"Update - start date moved again per client request, candidate updated.",11,9.9
LOG-000089,APP-00015,2024-05-27,recruiter_note,internal,Client requested start date be pushed. Notified candidate. Will check in agin in a few days.,16,3.1
LOG-000090,APP-00015,2024-06-01,recruiter_note,internal,Note: client requested start date be pushed. Notified candidate.,9,6.1
LOG-000091,APP-00015,2024-06-08,candidate_message,candidate_facing,just want to plan accordingly - is this start date firm this time?,13,9.0
LOG-000092,APP-00015,2024-06-12,recruiter_note,internal,"Start date moved again per client request, caandidate updated.",9,7.9
LOG-000093,APP-00016,2025-02-10,candidate_message,candidate_facing,"haven't sen anything in my inbox, wanted to follow up.",10,3.4
LOG-000094,APP-00016,2025-02-11,candidate_message,candidate_facing,"just checking, did the offer leetter go out yet?",9,3.8
LOG-000095,APP-00016,2025-02-11,candidate_message,candidate_facing,"jusst checking, did the offer letter go out yet?",9,1.0
LOG-000096,APP-00016,2025-02-12,recruiter_note,internal,"Sent candidate an update on offer letter timeline, they were understanding. Noted for the file.",15,2.4
LOG-000097,APP-00016,2025-02-13,candidate_message,candidate_facing,"just checking, did the offer letter go out yet? Thanks!",10,6.3
LOG-000098,APP-00016,2025-02-18,recruiter_note,internal,"Sent candidate an update on offer letter timeline, they were understanding. Will check in again in a few days.",19,6.3
LOG-000099,APP-00016,2025-02-20,candidate_message,candidate_facing,"haven't seen anything in my inbox, wanted to follwo up.",10,7.1
LOG-000100,APP-00016,2025-02-20,candidate_message,candidate_facing,"Hey, stil wiating on the paperwork, not sure if this matters but just making sure nothing got lost.",18,7.8
LOG-000101,APP-00016,2025-02-23,candidate_message,candidate_facing,"haven't seen anything in my inbox, wanted to follow up.",10,9.8
LOG-000102,APP-00016,2025-02-25,recruiter_note,internal,"Offer letter delayed on client side, caandidate starting to ask about it. No action needed at tis time.",18,6.1
LOG-000103,APP-00016,2025-02-25,candidate_message,candidate_facing,"just checking, did the ofer letter go out yet?",9,4.6
LOG-000104,APP-00016,2025-02-26,candidate_message,candidate_facing,"still waiting on the paperwork, not sure if this matters but just making sue nothing got lost. Thank you",19,8.4
LOG-000105,APP-00016,2025-02-27,recruiter_note,internal,"Offer letter delayed on client side, candidate startign to ask about it.",12,4.2
LOG-000106,APP-00016,2025-03-04,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it.",12,5.5
LOG-000107,APP-00016,2025-03-05,candidate_message,candidate_facing,"jut checking, did the offer letter go out yet?",9,2.6
LOG-000108,APP-00017,2024-02-25,candidate_message,candidate_facing,"so excited about this opportunity, thank you!",7,8.9
LOG-000109,APP-00017,2024-02-25,recruiter_note,internal,Candidate expressed strong enthusiaasm duriing call.,6,7.3
LOG-000110,APP-00017,2024-02-29,candidate_message,candidate_facing,this role sounds like a great,6,4.2
LOG-000111,APP-00017,2024-03-14,candidate_message,candidate_facing,"this roel sounds like a geat fit, can't wait to get started.",12,9.6
LOG-000112,APP-00018,2024-05-17,candidate_message,candidate_facing,"Good afternoon, I'm also in process with another company, wanted to be transparent about that.",15,6.4
LOG-000113,APP-00018,2024-05-17,recruiter_note,internal,"Candidate mentioned competing process, seems to be weighing both.",9,4.8
LOG-000114,APP-00018,2024-05-19,recruiter_note,internal,Update - candidate disclosed a parallel process with another firm. Discussed timeline expectations. Keeping an eye on this one.,19,36.5
LOG-000115,APP-00018,2024-05-20,recruiter_note,internal,"Candidate mentioned competing process, seems to be weighing both.",9,16.6
LOG-000116,APP-00018,2024-06-03,candidate_message,candidate_facing,"Hello, got some news on the other roe I mentioned, still deciding.",12,52.7
LOG-000117,APP-00018,2024-06-11,recruiter_note,internal,Asked directly about other offers - candidate confirmed one other active process. Nothing further to add right now.,18,68.3
LOG-000118,APP-00018,2024-06-17,withdrawal_statement,candidate_facing,"Hello, Accepted the other offer I mentioned, apologies for the change. Besst",12,69.7
LOG-000119,APP-00019,2025-04-25,recruiter_note,internal,"Client background vendor running behind, expect another few days. Will follow up early next week.",15,8.2
LOG-000120,APP-00019,2025-04-30,recruiter_note,internal,"Background check still processing, notified candidate of delay.",8,35.7
LOG-000121,APP-00019,2025-05-09,client_feedback,internal,Unable to clera candidate for start due to background check result. Will check in again in a few days.,19,29.1
LOG-000122,APP-00020,2024-11-09,candidate_message,candidate_facing,"just realized the commute is longer than I thought, thinking it through. Talk soon",14,2.1
LOG-000123,APP-00020,2024-11-12,candidate_message,candidate_facing,"just ralized the commute is longer than I thought, thinking it through.",12,2.1
LOG-000124,APP-00020,2024-11-18,candidate_message,candidate_facing,"taffic to that location is rough, still deciding if it's manageable.",11,2.8
LOG-000125,APP-00020,2024-11-22,interview_note,internal,Client reqeusted a few dasy to circle back after interview.,10,7.5
LOG-000126,APP-00020,2024-12-03,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Noted for the file.",10,2.6
LOG-000127,APP-00020,2024-12-04,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",6,4.6
LOG-000128,APP-00020,2024-12-04,withdrawal_statement,candidate_facing,"Transportation to the site fell through, I have to withdraw, sorry.",11,8.8
LOG-000129,APP-00021,2025-04-26,candidate_message,candidate_facing,"Hey, got soe news on the other role I mentioned, still deciding.",12,7.9
LOG-000130,APP-00021,2025-05-23,candidate_message,candidate_facing,"I'm also in process with another company, wanted to be transparent about that.",13,9.0
LOG-000131,APP-00022,2024-11-17,candidate_message,candidate_facing,"understood, appreciate it. Apreciate it",5,10.9
LOG-000132,APP-00022,2024-11-26,candidate_message,candidate_facing,"perfect, thannks for confirming. TY",5,60.4
LOG-000133,APP-00022,2024-11-30,candidate_message,candidate_facing,"Hi there, sounds good, thank you!",6,80.4
LOG-000134,APP-00022,2024-12-12,recruiter_note,internal,Candidate confirmed all onboarding steps complete.,6,47.0
LOG-000135,APP-00022,2024-12-12,candidate_message,candidate_facing,"understood, appreciate it.",3,3.3
LOG-000136,APP-00022,2024-12-13,candidate_message,candidate_facing,"great, see you then.",4,19.9
LOG-000137,APP-00022,2024-12-16,recruiter_note,internal,"Satndard check-in, no issues reported.",5,24.8
LOG-000138,APP-00022,2024-12-19,candidate_message,candidate_facing,"soudns good, thank you!",4,66.0
LOG-000139,APP-00023,2024-11-03,recruiter_note,internal,"Update - routine pre-start confirmation call, no concerns. Nothing further to add right now.",14,2.0
LOG-000140,APP-00023,2024-11-03,candidate_message,candidate_facing,"perfect, thanks for confirming. Thank you",6,10.2
LOG-000141,APP-00023,2024-11-08,interview_note,internal,Interview rescheduled once beofre finaly taking place. No action needed at thiis time.,13,28.1
LOG-000142,APP-00023,2024-11-09,candidate_message,candidate_facing,"great, see you...",3,23.0
LOG-000143,APP-00023,2024-11-09,recruiter_note,internal,"Standard check-in, no issues reported. Will check in again in a few days.",13,10.7
LOG-000144,APP-00023,2024-11-09,recruiter_note,internal,"Quick note - standard check-in, no issues reported.",8,0.6
LOG-000145,APP-00024,2024-07-16,candidate_message,candidate_facing,"great, see you then.",4,9.4
LOG-000146,APP-00025,2024-05-22,candidate_message,candidate_facing,"Good afternoon, understood, appreciate it.",5,11.9
LOG-000147,APP-00025,2024-05-23,candidate_message,candidate_facing,"understood, appreciate it.",3,4.0
LOG-000148,APP-00025,2024-06-21,recruiter_note,internal,"FYI, stanard check-in, no issues reported.",6,50.7
LOG-000149,APP-00025,2024-06-27,recruiter_note,internal,"Note: standard check-in, no issues reported. Nothing futrher to add right now.",12,82.5
LOG-000150,APP-00026,2024-11-02,candidate_message,candidate_facing,sounds good to me.,4,4.1
LOG-000151,APP-00026,2024-11-04,candidate_message,candidate_facing,"Hi there, souds good to me. Talk soon",8,43.2
LOG-000152,APP-00026,2024-11-06,recruiter_note,internal,"Emaild candidate an update, awaiting reply.",6,40.1
LOG-000153,APP-00026,2024-11-06,candidate_message,candidate_facing,sounnds good to me.,4,1.2
LOG-000154,APP-00026,2024-11-16,candidate_message,candidate_facing,"Hey, tanks - anything else you need from me?",9,24.9
LOG-000155,APP-00026,2024-11-20,interview_note,internal,"Candidate completed interview loop, no major concerns flagged so far.",10,90.0
LOG-000156,APP-00026,2024-11-25,recruiter_note,internal,Quick note - candidate responsive and on track per today's call. Flagging for visibility.,14,27.1
LOG-000157,APP-00026,2024-11-27,recruiter_note,internal,"Routine check-in with candidate, no concerns noted. No action needed at this time.",13,63.2
LOG-000158,APP-00026,2024-12-01,candidate_message,candidate_facing,"Hi there, ok, makes sense.",5,62.0
LOG-000159,APP-00026,2024-12-10,withdrawal_statement,candidate_facing,"After careful thought, I ned to formally withdraw my acceptance. Appreciate everything. Thanks!",13,95.5
LOG-000160,APP-00027,2024-06-19,candidate_message,candidate_facing,"Hi, not totally sure how that interview went, not sure if this matters but it flet a little off.",19,3.1
LOG-000161,APP-00027,2024-07-03,candidate_message,candidate_facing,"wanted to follow up afer the interview, wasn't sure I gave the best answers.",14,57.4
LOG-000162,APP-00027,2024-07-03,candidate_message,candidate_facing,"wanted to follow up after the interview, wasn't sure I gavve the best answers.",14,5.0
LOG-000163,APP-00027,2024-07-13,candidate_message,candidate_facing,"wanted to follow up after the interview, wasn't sure I gave the bets answers.",14,66.0
LOG-000164,APP-00027,2024-07-13,recruiter_note,internal,Standard follow-up call completed. Will follow up early next week.,10,1.6
LOG-000165,APP-00027,2024-07-20,recruiter_note,internal,Standard follow-up call completed. Will check in again in a few days.,12,94.2
LOG-000166,APP-00027,2024-07-22,candidate_message,candidate_facing,"wanted to follow up after the interview, wasn't sure I gave the best answers.",14,49.9
LOG-000167,APP-00027,2024-07-23,candidate_message,candidate_facing,"not totally sure how that interview went, not sure if this matters but it felt a little off.",18,10.3
LOG-000168,APP-00027,2024-08-07,recruiter_note,internal,"Checked in via text, candidate confirmed still interested.",8,62.6
LOG-000169,APP-00027,2024-08-08,candidate_message,candidate_facing,"Good afternoon, wanted to follow up after the interview, wasn't sure I gave the beest answers.",16,15.2
LOG-000170,APP-00027,2024-08-11,recruiter_note,internal,"Candidate confirmed receipt of details, no questions.",7,68.6
LOG-000171,APP-00028,2024-10-17,candidate_message,candidate_facing,"really looking forward to getting started, thanks for everything. Thanks!",10,4.0
LOG-000172,APP-00028,2024-10-27,recruiter_note,internal,"Proactive check-in call, candidate remains highly engageed and positive. Will follow up early next week.",15,2.5
LOG-000173,APP-00028,2024-10-27,recruiter_note,internal,"Weekly touchpoint completed, candidate expressed appreciation for communication. Flagging for visibility.",11,4.7
LOG-000174,APP-00028,2024-10-29,interview_note,internal,Debriefed with hiring manager after interview - feedback to follow.,10,8.5
LOG-000175,APP-00028,2024-10-31,candidate_message,candidate_facing,"thanks so much for checking in, really apprciate how on top of this you've been!",15,10.0
LOG-000176,APP-00028,2024-11-06,recruiter_note,internal,"Proactive check-in call, candidate remains highly engaged and positive. Wlil follow up early next week.",15,10.0
LOG-000177,APP-00028,2024-11-15,candidate_message,candidate_facing,"really looking forward to getting started, thanks for everything.",9,6.4
LOG-000178,APP-00028,2024-11-16,candidate_message,candidate_facing,"thanks so much for checking in, raelly apprecitae how on top of this you've been! Appreciate it",17,8.2
LOG-000179,APP-00028,2024-11-17,recruiter_note,internal,"Note: proactive check-in call, candidate remains highly engaged and positive. Flagging for visibility.",13,4.0
LOG-000180,APP-00028,2024-11-22,recruiter_note,internal,"Proactive check-in call, cnadidate remains highly engaged and positive.",9,8.8
LOG-000181,APP-00028,2024-11-23,candidate_message,candidate_facing,"Good afternoon, reaally looking forward to getting started, thanks for everything. Thanks",12,4.0
LOG-000182,APP-00029,2025-06-26,candidate_message,candidate_facing,"still sorting a few things internally, can I get back to...",11,9.5
LOG-000183,APP-00029,2025-06-30,recruiter_note,internal,Reconfirmed inteerest but toone was noticeably different than last call.,10,61.5
LOG-000184,APP-00029,2025-07-05,recruiter_note,internal,Candidate menntioned current employer reached out. Sounded less certain today.,10,85.4
LOG-000185,APP-00029,2025-07-11,interview_note,internal,"Interview ran a bit long, candidate seemed engaged throughout. Will check in again in a few days.",17,63.7
LOG-000186,APP-00029,2025-07-14,candidate_message,candidate_facing,"current employer found out and wants to keep me, going back and froth on it.",15,64.4
LOG-000187,APP-00029,2025-07-14,recruiter_note,internal,"Per today's call, candidate hedging on timeline, referenced an internal conversation at current job. Nothing further to add right now.",20,10.6
LOG-000188,APP-00029,2025-07-16,recruiter_note,internal,Candidate mentioned current employer reached out. Sounded less certain today. Will follow up early next week.,16,47.5
LOG-000189,APP-00029,2025-07-16,recruiter_note,internal,Reconfirmed interest but tone was noticeably different than last call.,10,0.2
LOG-000190,APP-00029,2025-07-27,recruiter_note,internal,"Candidate hedging on timeline, referenced an internal conversation at current job. Keeping an eye on this one.",17,26.1
LOG-000191,APP-00030,2024-04-24,interview_note,internal,"Client interview wrpped up, awaiting scorecard. Fagging for visibility.",9,4.8
LOG-000192,APP-00030,2024-04-26,recruiter_note,internal,"Discussed shiift schedule concerns with candidate, checked with client on flexibility. Nothing further to add right now.",17,6.1
LOG-000193,APP-00030,2024-04-28,recruiter_note,internal,"Discussed shit schedule concerns with candidate, chcked wth client on flexibility.",11,8.3
LOG-000194,APP-00030,2024-05-03,recruiter_note,internal,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",11,5.2
LOG-000195,APP-00030,2024-05-15,withdrawal_statement,candidate_facing,Couldn't make the schedule work on my end,8,7.0
LOG-000196,APP-00031,2024-10-16,candidate_message,candidate_facing,"Good afternoon, appreciate the offer, just want to double check there's no room on the rate.",16,6.2
LOG-000197,APP-00031,2024-10-18,recruiter_note,internal,Candidate raised comp concerns. Walked through total package again. Fllagging for visibility.,12,7.3
LOG-000198,APP-00031,2024-10-19,candidate_message,candidate_facing,"Hi, the rate is a little lower than I was expecting honestly. TY",13,0.8
LOG-000199,APP-00031,2024-10-19,recruiter_note,internal,"Updatte - pushback on pay rate, explained bill rate constraints from client.",12,3.5
LOG-000200,APP-00031,2024-10-19,candidate_message,candidate_facing,"can we revisti the pay rate, kind of it's close but not quite where I need it.",17,2.3
LOG-000201,APP-00031,2024-10-21,recruiter_note,internal,Candidate raised comp concerns. Walked through total package again. Will circle back if anything changes.,15,3.4
LOG-000202,APP-00031,2024-10-23,recruiter_note,internal,"Pushback on pay rate, explained bill rate constraints from client.",10,4.2
LOG-000203,APP-00031,2024-10-27,interview_note,internal,"Client interview wrapped up, awaiting scorecard.",6,3.4
LOG-000204,APP-00031,2024-11-07,recruiter_note,internal,Candidate seems okay with comp after clarifying overtime/differential. Will follow up early next week.,14,2.7
LOG-000205,APP-00031,2024-11-17,candidate_message,candidate_facing,"still thinking about the comp, want to makke sure the math works out.",13,3.0
LOG-000206,APP-00032,2024-04-22,recruiter_note,internal,"Discussed candidate's family situation briefly, offered flexibility on start date.",10,1.7
LOG-000207,APP-00032,2024-05-06,candidate_message,candidate_facing,we're dealing witth a relocation,5,4.2
LOG-000208,APP-00032,2024-05-10,candidate_message,candidate_facing,"we're dealing wth a relocation situation on our end, not fully resolved yet.",13,8.4
LOG-000209,APP-00032,2024-05-11,recruiter_note,internal,"Candidate citeed family/relocation issue, did not go into detail. No action needed at this time.",15,8.0
LOG-000210,APP-00032,2024-05-13,decline_statement,candidate_facing,Candidaate declined - thanked us for the opportunity.,8,3.5
LOG-000211,APP-00033,2025-04-15,recruiter_note,internal,Candidate confirmed all onboarding steps complete. Will chheck in again in a few days.,14,6.6
LOG-000212,APP-00033,2025-04-27,candidate_message,candidate_facing,"souns good, thank you! Thank you",6,6.3
LOG-000213,APP-00033,2025-05-25,recruiter_note,internal,"Routine pre-start confirmation call, no concerns. Flagging for visibility.",9,2.9
LOG-000214,APP-00033,2025-05-27,recruiter_note,internal,"Rouitne pre-start confirmation call, no concerns.",6,5.6
LOG-000215,APP-00033,2025-06-04,candidate_message,candidate_facing,"Goood afternoon, understood, appreciate it.",5,6.3
LOG-000216,APP-00034,2024-05-04,recruiter_note,internal,"Candiadte cited family/relocation issue, did not go into detail. Will follow up early next week.",15,2.3
LOG-000217,APP-00034,2024-05-09,recruiter_note,internal,"Quick note - candidate cited family/relocation issue, did not go into detail.",12,88.1
LOG-000218,APP-00034,2024-05-10,withdrawal_statement,candidate_facing,"Some things caame up at home and I won't be able to move forward, sorry for the trouble.",18,6.0
LOG-000219,APP-00035,2024-09-21,candidate_message,candidate_facing,can you confirm agani that nothing has changed on the offer?,11,11.9
LOG-000220,APP-00035,2024-10-01,interview_note,internal,Debriefed with hiring manager afer interview - feedback to follow.,10,67.6
LOG-000221,APP-00035,2024-10-06,recruiter_note,internal,"Repeated confirmation request from candidate, reassured again.",7,41.1
LOG-000222,APP-00035,2024-10-06,candidate_message,candidate_facing,just want to triple check the start dae is still the same date?,13,10.4
